price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 665 000,2.0,1.0,1.0,Apartment/Flat,51m²,51m²,R1261,R150,0.0,0
R 850 000,2.0,1.0,1.0,Apartment/Flat,69m²,69m²,R1035,R343,0.0,0
R 689 000,2.0,1.0,1.0,House,200m²,50m²,R150,R150,1.0,0
POA,,,,IndustrialProperty,4500m²,,,R9500,,0
POA,,,,CommercialProperty,495m²,,,,,0
R 1 800 000,4.0,3.0,15.0,House,,,,R1200,,0
R 2 400 000,4.0,4.0,14.0,House,2024m²,340m²,,R1000,1.0,1
R 500 000,2.0,1.0,,House,300m²,,,R500,1.0,0
R 790 000,1.0,1.0,1.0,Apartment/Flat,,,,,,1
R 665 000,2.0,1.0,1.0,House,,51m²,R1000,R750,0.0,0
POA,,,,CommercialProperty,2252m²,2252m²,,R1,,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R1300,R300,0.0,0
R 10 000 000,3.0,3.5,2.0,Apartment/Flat,,730m²,R10545,R3579,1.0,1
R 5 399 000,4.0,3.0,4.0,House,1447m²,421m²,,R2147,1.0,1
R 3 300 000,4.0,5.0,1.0,House,1205m²,385m²,,,1.0,1
R 6 214 000,,,,CommercialProperty,,143m²,R5470,R7724,,0
R 675 000,2.0,1.0,1.0,Apartment/Flat,,,R1000,R250,,0
R 665 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R1200,,1.0,0
R 1 295 000,3.0,3.0,4.0,House,545m²,,,,1.0,0
R 64 800 000,8.0,11.0,12.0,House,4196m²,2000m²,,,1.0,1
R 1 345 000,3.0,2.0,1.0,House,300m²,83m²,R550,R450,1.0,0
R 4 300 000 - R 4 600 000,,,,,,,,,,0
R 3 000 000,3.0,2.0,2.0,Townhouse,,295m²,,R1937,,0
R 5 000 000,4.0,3.0,8.0,House,508ha,200m²,,R5257,1.0,0
R 679 999,1.0,1.5,1.0,Apartment/Flat,,,,,,0
R 4 600 000,4.0,,,House,496m²,497m²,,R1000,,0
R 900 000,3.0,2.0,1.0,Apartment/Flat,133m²,133m²,,,1.0,0
R 1 799 000,3.0,2.0,1.0,House,1155m²,,,R600,1.0,1
R 1 625 000,2.0,2.0,2.0,Townhouse,,82m²,,R750,1.0,0
R 650 000,2.0,2.0,3.0,Townhouse,,102m²,R1198,R320,1.0,1
R 580 000,2.0,1.5,2.0,Apartment/Flat,,88m²,R850,R250,,0
R 665 000,2.0,1.0,1.0,House,51m²,51m²,R1200,R250,,0
R 720 000,2.0,1.0,1.0,Townhouse,,,,,,0
R 2 495 000,,,,Apartment/Flat,313m²,320m²,,,,0
R 690 000,1.0,2.0,1.0,Apartment/Flat,,,,,0.0,0
R 1 350 000,1.0,1.5,1.0,Apartment/Flat,,90m²,R2000,,,1
R 1 250 000,3.0,1.0,2.0,House,713m²,,,,1.0,1
R 2 300 000,4.0,3.0,4.0,House,384m²,1338m²,,R800,0.0,1
R 1 250 000,3.0,1.0,2.0,House,495m²,,,R1800,1.0,1
R 2 400 000,3.0,2.0,2.0,Townhouse,240m²,120m²,,,0.0,0
R 900 000,3.0,2.0,2.0,Townhouse,,,R1500,R300,0.0,0
R 950 000,4.0,1.0,2.0,House,,,,,0.0,0
R 8 950 000,5.0,4.0,4.0,House,698m²,479m²,,R4400,1.0,1
R 1 520 000 - R 1 755 000,,,,,,,,,,0
R 1 389 000,3.0,2.0,2.0,House,250m²,,R850,R800,,0
R 4 995 000,2.0,2.0,5.0,House,1239m²,1m²,,R3050,1.0,1
R 4 850 000,3.0,3.0,3.0,House,1313m²,1m²,,R2800,1.0,0
R 1 650 000,5.0,3.0,11.0,House,2023m²,500m²,,R990,1.0,1
R 6 995 000,3.0,2.0,3.0,House,,460m²,,R3574,1.0,0
R 6 488 900,2.0,2.5,2.0,Apartment/Flat,,82m²,R4013,,0.0,0
R 675 000,2.0,1.0,2.0,Apartment/Flat,,51m²,R750,R500,0.0,0
R 1 275 000,1.0,1.0,1.0,Apartment/Flat,,,R1360,R634,,0
R 1 025 000,1.0,1.0,1.0,Apartment/Flat,,,R1040,R463,,0
R 1 250 000,3.0,2.0,3.0,House,495m²,,,R911,1.0,1
R 765 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 895 000,1.0,1.0,1.0,Apartment/Flat,,,R920,R374,,0
R 4 090 000,3.0,3.0,3.0,Apartment/Flat,,,,,,0
R 1 290 000,1.0,1.0,1.0,Apartment/Flat,,,,,,0
R 1 390 000,3.0,2.5,2.0,Townhouse,5308m²,163m²,,R600,,1
R 755 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R1250,R250,,0
