price,bedrooms,bathrooms,parking space,Type of Property,Pets Allowed,Pool,Floor Size,Levies,Rates and Taxes,Erf Size
R 1 300 000,4,2,2,House,1.0,0,,,,
R 695 000,3,2,1,Townhouse,0.0,0,57m²,R700,R384,
R 510 000,1,1,1,Apartment/Flat,,0,35m²,R860,R150,2000m²
R 950 000,3,1,2,House,,0,,,R616,251m²
POA,,,,CommercialProperty,,0,,,,1700m²
R 250 000,1,1,,Apartment/Flat,0.0,0,35m²,R600,R300,
R 3 100 000,2,2,2,House,1.0,1,500m²,,R4000,1313m²
R 750 000,1,1.5,,Apartment/Flat,,0,65m²,R2225,R207,
R 839 000,2,1,1,Apartment/Flat,,0,56m²,R1300,R300,
R 795 000,2,2,2,Townhouse,1.0,0,97m²,R1481,R277,
R 740 000,2,2,2,House,1.0,0,55m²,,R500,200m²
R 3 845 000,7,5,4,House,,0,,,R1559,1612m²
R 1 850 000,2,2,1,Apartment/Flat,,1,119m²,,,119m²
R 1 895 000,3,3.5,2,Townhouse,,0,177m²,R3680,R1593,
R 755 000,2,1,2,Apartment/Flat,,0,51m²,R750,R200,
R 3 950 000,8,5,3,House,1.0,1,,,,967m²
R 2 995 000,2,2,2,Apartment/Flat,0.0,0,205m²,,R1846,
R 580 000,2,1,1,Townhouse,1.0,1,44m²,,R500,26987m²
R 700 000,3,1.5,2,House,1.0,0,,,R486,496m²
R 8 499 900,,,,,,0,,,,
R 1 300 000,3,2,,House,1.0,1,,,R850,826m²
R 2 600 000,4,2.5,2,House,1.0,1,,,R1911,1300m²
R 1 300 000,1,2,1,Apartment/Flat,,0,,R2000,,
R 1 195 000,3,2,2,Townhouse,0.0,0,97m²,R1352,R551,11192m²
R 1 795 000,3,3,,House,,0,595m²,,R922,595m²
R 950 000,3,2,2,Townhouse,,1,131m²,R2320,,
R 675 000,2,1,,Townhouse,,1,74m²,R1770,R395,
R 29 990 000,4,4.5,4,House,,1,,,,4000m²
R 1 790 000,,,,VacantLand/Plot,,0,,,R2000,3430m²
R 860 000,2,2,2,Townhouse,0.0,0,89m²,R2700,,
R 390 000,2.5,1.5,1,Apartment/Flat,0.0,0,107m²,R1449,,
R 940 000,2,2,1,Townhouse,0.0,1,86m²,R655,R651,37252m²
R 1 095 000,5,3,2,House,,0,,,R450,600m²
R 850 000,3,2,2,Townhouse,1.0,0,150m²,R375,R559,495m²
R 1 000 000,3,2,2,Townhouse,,1,131m²,R2720,,
R 6 495 000,4,3.5,2,House,1.0,1,,,,532m²
R 520 000,1,1,1,Townhouse,,0,47m²,R1115,,
R 2 100 000,4,2,4,House,1.0,1,280m²,,R1300,1050m²
R 2 500 000 - R 4 300 000,,,,,,0,,,,
R 881 500,3,2,,House,1.0,0,70m²,,R500,200m²
R 1 794 545,,,,IndustrialProperty,,0,470m²,,,10456m²
R 1 561 636,,,,IndustrialProperty,,0,409m²,,,10456m²
R 2 650 000,4,3,10,House,,1,,,R2300,2023m²
R 2 000 000,2,2,2,Apartment/Flat,1.0,0,102m²,,R1284,4211m²
R 3 300 000,,,,VacantLand/Plot,,0,,,R350,95000m²
R 3 700 000,5,4.5,6,House,,1,,,,991m²
R 4 100 000,3,3.5,2,House,,1,,,R2079,495m²
R 675 000,2,1,1,Apartment/Flat,0.0,0,51m²,R600,R500,
R 3 100 000,2,2,2,House,,1,,,,495m²
R 1 450 000,3,2,1,House,1.0,0,430m²,,R650,532m²
R 8 450 000,4,4,2,House,,0,,,R3779,821m²
R 525 000,3,2,1,Apartment/Flat,0.0,0,128m²,R2195,R330,
R 375 000,0.5,1,,Apartment/Flat,,0,39m²,R1143,,
R 675 000,2,1,2,Apartment/Flat,,0,,R750,R500,
R 773 000,3,1,2,House,1.0,0,60m²,,R300,300m²
R 1 000 000,,,,IndustrialProperty,,0,833m²,,,833m²
R 675 000,2,1,1,Apartment/Flat,,0,51m²,R1200,R150,
R 570 000,,,,,,0,,,,
R 1 299 000,4,2,4,House,,1,185m²,,R500,496m²
R 995 000,2,2,2,Townhouse,0.0,1,84m²,R1300,R640,54125m²
R 490 000,1,1,1,Apartment/Flat,,1,47m²,R1900,R1039,695m²
R 900 000,4,2,2,House,1.0,0,,,R426,495m²
R 1 049 000,2,2,2,Apartment/Flat,,1,84m²,,R780,84m²
R 765 000,3,1.5,,House,,0,75m²,,R400,300m²
R 839 000,2,1,1,Apartment/Flat,,0,56m²,R1300,R250,56m²
R 3 975 000,6,4,4,House,1.0,0,1004m²,,R1774,
R 800 000,3,2.5,3,House,1.0,0,,,R1600,862m²
R 3 480 000,3,2.5,7,House,1.0,1,,,R1249,743m²
R 1 990 000,4,2,3,House,1.0,0,,,R736,413m²
R 1 350 000,3,2,2,Apartment/Flat,0.0,0,,R4159,R400,
R 3 950 000,3,2.5,6,House,,1,415m²,,R3400,1276m²
R 2 300 000,1,1.5,2,House,0.0,1,200m²,,R836,1399m²
R 699 000,2,2,1,Townhouse,0.0,1,103m²,R1200,R350,
R 2 550 000,4,3,8,House,0.0,1,,,R948,1025m²
R 1 700 000,,,,CommercialProperty,,0,,,,902m²
R 1 495 000,1,1,1,Apartment/Flat,1.0,1,95m²,,,
R 2 475 000 - R 2 499 000,,,,,,0,,,,
R 2 290 000,4,3,4,House,1.0,1,,,R1044,1216m²
R 500 000,2,1,2,House,1.0,0,50m²,,R500,300m²
R 330 000,2,1,1,Townhouse,0.0,0,63m²,R801,R176,992m²
R 400 000,2,1,1,Apartment/Flat,1.0,0,59m²,R1500,,13664m²
R 3 950 000,3,2,2,House,1.0,0,,,,1020m²
R 3 500 000,4,2,2,House,1.0,0,20m²,,R1450,706m²
R 1 699 000,3,3,2,Townhouse,1.0,0,246m²,R2400,R1280,246m²
R 1 750 000,3,2,4,House,,1,,,R700,1388m²
R 480 000,1,1,1,Townhouse,0.0,0,29m²,R1700,R600,29m²
R 1 380 000,3,2,2,House,1.0,0,,,R739,406m²
R 5 200 000,4,3,,House,1.0,1,367m²,,R2665,1458m²
R 1 400 000,3,2.5,2,House,1.0,1,,,R1337,496m²
R 30 000 000,,,,CommercialProperty,,0,3300m²,,,1470m²
R 3 800 000,2,2,1,House,1.0,0,,,R1400,669m²
R 1 464 875,3,2,2,House,1.0,0,100m²,R900,R1600,240m²
R 1 200 000,2,1,1,House,1.0,0,196m²,,R733,496m²
R 750 000,1,1,,Apartment/Flat,,0,53m²,R5,R493,
R 3 200 000,3,3,3,House,,1,400m²,,R1360,770m²
R 14 000 000,3,3.5,,Apartment/Flat,,0,316m²,R2714,R2700,514m²
R 4 300 000 - R 4 600 000,,,,,,0,,,,
R 499 000,,,,VacantLand/Plot,,0,,,R580,495m²
R 1 050 000,3,2,3,House,,0,,,,554m²
R 480 000,0.5,1,,Apartment/Flat,,0,40m²,,R300,
R 1 350 000,1,1,,Apartment/Flat,,0,80m²,R1233,R194,4196m²
R 755 000,2,1,1,Apartment/Flat,0.0,0,56m²,R600,R500,
R 265 000,2,1,1,Apartment/Flat,0.0,0,85m²,R1300,,
R 410 000,1,1,,Apartment/Flat,,1,40m²,,,695m²
R 425 000,0.5,1,,Apartment/Flat,,0,36m²,R967,,
R 799 000,1,1,1,Apartment/Flat,0.0,1,45m²,R748,R464,10390m²
R 4 500 000,3,2.5,2,Apartment/Flat,,1,212m²,R2500,,
R 4 500 000,3,2,2,House,1.0,1,400m²,,R2000,1090m²
R 750 000,3,2,10,House,0.0,0,280m²,,R482,455m²
R 8 500 000,5,3,1,House,1.0,1,480m²,,R3400,876m²
R 799 999,2,2,1,Townhouse,0.0,1,127m²,R1200,R836,9408m²
R 1 695 000,3,1,,House,0.0,0,350m²,,R3031,495m²
R 1 500 000,2,1,,Apartment/Flat,,0,120m²,R4900,R1000,
R 1 000 000,3,2,2,Apartment/Flat,,0,112m²,R1000,R400,112m²
R 1 825 000,3,2,2,House,1.0,0,,,,1160m²
R 195 000,,1,,Apartment/Flat,,0,,R1030,R400,
R 6 250 000,2,2.5,2,Apartment/Flat,1.0,1,171m²,R6612,R4023,
R 5 704 000,,,,CommercialProperty,,0,184m²,,,184m²
