price,Type of Property,Erf Size,Levies,Pool,bedrooms,bathrooms,parking space,Floor Size,Rates and Taxes,Pets Allowed
R 2 600 000,VacantLand/Plot,689m²,R2150,0,,,,,,
R 3 995 000,House,289m²,R672,0,3,2,2,261m²,R2437,1.0
R 580 000,Townhouse,9151m²,R1600,1,2,1,,69m²,R320,1.0
R 529 000,Townhouse,9252m²,,1,2,1.5,,87m²,R297,0.0
R 1 050 000,Apartment/Flat,,R2145,1,1,1,1,62m²,R69800,0.0
R 8 850 800,House,,,0,4,4,2,366m²,,
R 599 000,House,400m²,,0,2,1.5,,120m²,R399,
R 1 026 000,Apartment/Flat,,R1625,0,0.5,1,2,74m²,,0.0
R 4 200 000,Apartment/Flat,,R3784,1,2,2,2,86m²,,
R 3 400 000,CommercialProperty,1012m²,,0,,,,242m²,,
R 2 890 000,CommercialProperty,2000m²,,0,,,,1887m²,R5000,
R 995 000,Apartment/Flat,,R3390,0,3,1,1,169m²,R434,0.0
R 4 500 000,House,1000m²,,1,3,2.5,2,,R2768,1.0
R 340 000,Apartment/Flat,,R2600,0,3,1,1,103m²,R200,
R 4 095 000,House,589m²,R1560,0,3,3,,380m²,R1956,
R 475 000,Apartment/Flat,,R1400,1,1,1,,33m²,R200,0.0
R 1 219 000,Apartment/Flat,,R1384,1,2,2,2,56m²,R500,
R 4 600 000,IndustrialProperty,2991m²,,0,,,,672m²,,
R 739 000 - R 789 000,,,,0,,,,,,
R 1 000 000,Apartment/Flat,,,0,1,1,2,74m²,R1030,
R 3 730 000,Apartment/Flat,74m²,R2700,0,2,2,,74m²,,1.0
R 529 000,Apartment/Flat,80m²,,0,2,2,2,80m²,R500,
R 1 195 000,Apartment/Flat,,,0,2,1,1,95m²,R451,
R 1 595 000,Townhouse,,R3492,1,2,2.5,,106m²,R840,
R 1 065 000,Apartment/Flat,,R3490,0,8,1,,126m²,,
R 680 000,Townhouse,,R1100,0,2,1,,75m²,R300,
R 1 585 000,House,,,1,4,2,4,756m²,R800,
R 6 700 000,House,2853m²,,0,4,4.5,2,,R2980,1.0
R 8 460 900,CommercialProperty,560m²,R37347,0,,,,560m²,R18052,
R 1 620 000,House,743m²,,1,3,2,1,,,1.0
R 1 024 900,House,163m²,R270,0,3,2.5,1,104m²,R530,
R 1 399 000,Apartment/Flat,,R1375,0,3,2,,108m²,R366,
R 8 499 900,House,,,0,4,4,2,362m²,,
R 2 695 000,VacantLand/Plot,,,0,,,,,,
R 395 000,House,,R1500,0,1,1,1,48m²,R350,0.0
R 820 000,House,,,0,3,2,,,,
R 1 199 000 - R 1 299 000,,,,0,,,,,,
R 6 490 000,VacantLand/Plot,45000m²,,0,,,,,R5695,
R 2 850 000,VacantLand/Plot,660m²,R1750,0,,,,,,
R 290 000,House,,,0,,,,,,
R 610 000,Townhouse,,,0,2,1,,61m²,,0.0
R 5 500 000,VacantLand/Plot,31728m²,,0,,,,,R800,
R 2 420 000,VacantLand/Plot,660m²,R1520,0,,,,,,
R 1 490 000,Apartment/Flat,650m²,R3596,1,2,2,2,139m²,R500,
R 21 850 000,VacantLand/Plot,16869m²,,0,,,,,R5464,
R 1 600 000,Apartment/Flat,,R1800,1,2,1,,97m²,R1380,
R 300 000,Apartment/Flat,,R913,0,1,1,1,66m²,,0.0
R 1 200 000,VacantLand/Plot,1007m²,,0,,,,,,
R 695 000,Townhouse,4163m²,R500,0,2,1,,60m²,R373,0.0
R 235 000,Apartment/Flat,,R1101,0,1,1,1,76m²,,0.0
R 550 000,Apartment/Flat,,,1,2,1,,70m²,,0.0
R 4 250 000,Apartment/Flat,4684m²,R5700,1,2,2.5,2,115m²,R2736,
R 1 200 000,Apartment/Flat,2024m²,R2500,0,3,2,2,84m²,,0.0
R 670 000,Apartment/Flat,,R1406,0,1,1,,59m²,R300,0.0
R 1 995 000,House,495m²,,0,13,11,1,,R569,1.0
R 1 200 000,House,496m²,,1,4,2,4,,,1.0
R 1 800 000 - R 5 400 000,,,,0,,,,,,
R 2 100 000,House,1198m²,,0,5,5,7,,,
R 8 500 000,VacantLand/Plot,40975m²,,0,,,,,R3571,
R 1 250 000,CommercialProperty,496m²,,0,,,,375m²,R2720,
R 2 150 000,Apartment/Flat,73m²,R2200,0,2,2,,73m²,R1350,
R 12 499 000,House,1170m²,R3200,1,6,6.5,3,1050m²,R1800,
R 1 450 000,House,497ha,,0,3,2,9,245m²,R495,1.0
R 4 799 000,House,1495m²,,1,5,3,4,,R2350,1.0
POA,House,,,1,4,4,8,,,
R 1 400 000,Apartment/Flat,,R2500,1,2,2,3,102m²,R1500,
R 780 000,House,2277m²,,0,4,2,1,,R385,1.0
R 2 999 000,House,996m²,,0,6,4,3,445m²,R1292,
R 15 999 000,House,1388m²,,1,6,5,12,,R6500,
R 370 000,Apartment/Flat,27m²,,0,,1,,28m²,,
R 2 400 000,Apartment/Flat,48m²,R1900,0,1,1,,48m²,,
R 3 800 000,Apartment/Flat,,R3650,1,2,2,2,83m²,,
R 890 000,House,495m²,,0,3,1,1,120m²,,1.0
R 380 000,Apartment/Flat,58m²,R1334,0,2,1.5,1,,R300,
R 3 999 000 - R 4 249 000,,,,0,,,,,,
R 1 060 000,House,377m²,,0,4,1,1,125m²,R492,0.0
R 1 500 000,CommercialProperty,600m²,,0,,,,600m²,,
R 499 000,Apartment/Flat,,R1323,0,1,1,1,73m²,R393,
R 1 849 000,House,744m²,,1,3,2,2,,,1.0
R 5 849 000,CommercialProperty,560m²,R36462,0,,,,,R18485,
R 2 365 000,Apartment/Flat,47.3m²,R1800,0,1,1,,47m²,,
R 630 000,Apartment/Flat,,,0,1,1,,,R46,0.0
R 680 000,House,,,0,2,1,,,,
R 1 650 000,House,495m²,,0,6,2,,,,
R 7 800 000,House,991m²,,0,4,3,4,594m²,R4897,
R 1 350 000,Apartment/Flat,6842m²,R2400,0,1,1.5,2,105m²,R727,1.0
R 5 400 000,Apartment/Flat,,R7700,1,2,2.5,2,176m²,R3569,
R 2 100 000,House,,,0,5,2.5,1,248m²,R700,0.0
R 780 000,House,,,0,2,2,3,,,
R 3 800 000,Apartment/Flat,,R3212,1,2,2,2,73m²,,
R 120 000 000,CommercialProperty,34204m²,,0,,,,34204m²,,
R 995 000,Townhouse,,R1278,0,3,2,2,102m²,,
R 1 469 000,Apartment/Flat,,R1372,0,3,2,4,108m²,R363,
R 649 000,,,,0,,,,,,
R 5 999 000,House,1620m²,,1,3,2,2,460m²,,1.0
