price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space,Erf Size
R 475 000,1,1,Apartment/Flat,33m²,R1400,R200,0.0,1,,
R 1 550 000,,,Apartment/Flat,,R1800,,,0,,
R 1 219 000,2,2,Apartment/Flat,56m²,R1384,R500,,1,2,
R 4 500 000,4,2.5,House,,,,1.0,1,4,1332m²
R 899 000,6,3,House,,,,1.0,0,2,300m²
R 1 350 000,1,1,Apartment/Flat,105m²,,R2496,1.0,0,1,6842m²
R 2 500 000,,1,Apartment/Flat,43m²,R2100,,,1,1,
R 1 000 000,1,1,Apartment/Flat,74m²,,R1030,,0,2,
R 3 730 000,2,2,Apartment/Flat,74m²,R2700,,1.0,0,,74m²
R 1 620 000,3,2,House,879m²,,R1093,1.0,1,2,879m²
R 1 195 000,2,1,Apartment/Flat,95m²,,R451,,0,1,
R 1 595 000,2,2.5,Townhouse,106m²,R3492,R840,,1,,
R 680 000,2,1,Townhouse,75m²,R1100,R300,,0,,
R 1 585 000,4,2,House,756m²,,R800,,1,4,
R 8 460 900,,,CommercialProperty,560m²,R37347,R18052,,0,,560m²
R 4 770 000,,,,,,,,0,,
R 1 399 000,3,2,Apartment/Flat,108m²,R1375,R366,,0,,
R 19 950 000,5,4.5,House,981m²,,,1.0,1,4,1749m²
R 2 695 000,,,VacantLand/Plot,,,,,0,,
R 820 000,3,2,House,,,,,0,,
R 9 120 000,,,VacantLand/Plot,,,R5511,,0,,45028m²
R 6 490 000,,,VacantLand/Plot,,,R5695,,0,,45000m²
R 2 850 000,,,VacantLand/Plot,,R1750,,,0,,660m²
R 1 065 000,8,1,Apartment/Flat,126m²,R3490,,,0,,
R 610 000,2,1,Townhouse,61m²,,,0.0,0,,
R 5 500 000,,,VacantLand/Plot,,,R800,,0,,31728m²
R 2 420 000,,,VacantLand/Plot,,R1520,,,0,,660m²
R 1 024 900,3,2.5,House,104m²,R270,R530,,0,1,163m²
R 1 490 000,2,2,Apartment/Flat,139m²,R3596,R500,,1,2,650m²
R 21 850 000,,,VacantLand/Plot,,,R5464,,0,,16869m²
R 1 600 000,2,1,Apartment/Flat,97m²,R1800,R1380,,1,,
R 300 000,1,1,Apartment/Flat,66m²,R913,,0.0,0,1,
R 1 200 000,,,VacantLand/Plot,,,,,0,,1007m²
R 1 150 000,3,2.5,Apartment/Flat,128m²,R2500,R400,,0,2,
R 2 299 000 - R 2 552 550,,,,,,,,0,,
R 235 000,1,1,Apartment/Flat,76m²,R1101,,0.0,0,1,
R 4 250 000,2,2.5,Apartment/Flat,115m²,R5700,R2736,,1,2,4684m²
R 1 200 000,3,2,Apartment/Flat,84m²,R2500,,0.0,0,2,2024m²
