price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 28 000 000,CommercialProperty,1000m²,3400m²,R39958,0,,,,,
R 1 395 000,House,,,R650,0,7,4.5,3,,
R 650 000,Apartment/Flat,45m²,,R300,0,1,1,2,R695,
R 900 000,House,,,R350,0,3,1,,,
R 1 749 000,House,374m²,,R351,1,4,3,2,,1.0
R 2 250 000,House,495m²,,,0,11,6,,,
R 600 000,Apartment/Flat,995m²,38m²,R200,1,1,1,,R1600,0.0
R 377 000,Apartment/Flat,499m²,26m²,R300,0,0.5,1,,R900,0.0
R 875 000,Apartment/Flat,,103m²,,1,2,1.5,2,,0.0
R 2 850 000,CommercialProperty,81.5m²,81m²,,0,,,,,
R 1 590 000,Apartment/Flat,12928m²,109m²,,0,2,2,2,R1910,
R 12 800 000,IndustrialProperty,6393m²,6393m²,,0,,,,,
R 1 899 000,Apartment/Flat,,151m²,R502,0,2,2,1,R4216,
R 2 300 000,Apartment/Flat,,118m²,R1393,0,2,2,2,R2919,
R 11 400 000,IndustrialProperty,3745m²,3745m²,,0,,,,,
R 13 300 000,IndustrialProperty,4406m²,4406m²,,0,,,,,
R 11 900 000,House,1500m²,,R4667,1,4,3.5,8,,1.0
R 1 550 000,House,471m²,350m²,R700,0,4,2,1,,1.0
R 4 990 000,,,,,0,,,,,
R 765 000,Apartment/Flat,,,R150,0,2,1,1,R1300,
R 2 150 000,Townhouse,,120m²,R1530,0,3,2,2,R4648,1.0
R 773 000,House,200m²,60m²,R150,0,3,1,1,R150,1.0
R 12 000 000,CommercialProperty,2703m²,864m²,R13853,0,,,,,
R 720 000,Apartment/Flat,983m²,68m²,R258,0,,1,,R1836,
R 3 250 000,House,495m²,,,1,3,3.5,2,,1.0
R 799 000,House,248m²,,R557,0,3,1,4,,
R 27 000 000,House,7063m²,,,1,5,4,2,,1.0
R 6 450 000,Apartment/Flat,,,,1,4,4,2,R5000,0.0
R 595 000,Apartment/Flat,,,,1,2,1,1,R1200,0.0
R 899 000,House,,,,0,3,,2,,
R 1 999 999,House,1487m²,,R897,1,4,2,2,,0.0
R 500 000,House,,,,0,2,,4,,
R 3 250 000,House,496m²,1m²,R2000,0,,,,,1.0
R 3 250 000,House,566m²,,,1,3,4,6,,1.0
R 760 000,House,,,,0,3,1,1,,
R 550 000,Townhouse,,57m²,,1,3,1,,R1200,1.0
R 850 000,House,300m²,,R381,1,4,2,5,R838,0.0
R 1 350 000,Townhouse,42992m²,123m²,,1,2,3,1,R1800,
R 2 500 000,Apartment/Flat,,61m²,R1151,1,1,1,1,R3516,
R 1 575 000,,,,,0,,,,,
R 2 449 000,House,991m²,500m²,R957,0,5,5,6,,1.0
R 3 100 000,Apartment/Flat,,95m²,R2500,1,1,1,2,R4200,
R 2 000 000,House,1050m²,170m²,R800,1,3,2,8,,
R 2 700 000,House,1704m²,,,1,9,4,2,,
R 350 000,Apartment/Flat,,,,0,1,1,,R713,0.0
R 1 250 000,House,,,,0,6,2,1,,
R 2 300 000,House,495m²,,,0,9,3,,,
R 1 050 000,Townhouse,,,,1,3,2,,,
R 1 199 000,House,600m²,160m²,R350,0,3,2,6,,1.0
R 4 750 000,House,952m²,,R2952,1,3,2,2,,1.0
R 1 800 000,House,881m²,,,0,4,4,6,,1.0
R 1 350 000,House,,,,0,4,3,3,,
R 1 100 000,Apartment/Flat,100m²,100m²,,0,3,2,1,,1.0
R 2 190 000,House,664m²,,,1,9,6,4,,
R 700 000,House,380m²,110m²,R450,0,2,1,,,0.0
R 2 890 000,House,1132m²,,R1833,0,4,3,2,,1.0
POA,IndustrialProperty,8260m²,,,0,,,,,
