price,bedrooms,bathrooms,parking space,Type of Property,Levies,Rates and Taxes,Pool,Floor Size,Pets Allowed,Erf Size
R 1 195 000,2,2,1,Apartment/Flat,R1094,R700,0,,,
R 1 190 000,1,1,,Townhouse,R1200,R650,0,,,
R 1 250 000,1,1,3,Townhouse,R2025,,0,,,
R 650 000,3,1,,Apartment/Flat,R873,R533,0,,,
R 2 395 000,2,2,2,Apartment/Flat,R3785,R2048,1,102m²,0.0,
R 6 378 900,2,2.5,2,Apartment/Flat,R4828,,0,137m²,,
R 1 200 000,,,,CommercialProperty,,,0,,,318m²
R 3 999 990,4,3.5,6,House,,R1800,1,,,2290m²
R 12 000 000,,,,IndustrialProperty,,,0,3411m²,,3514m²
R 5 999 000,4,3.5,5,House,,,1,,1.0,3742m²
R 799 000,3,1.5,1,Apartment/Flat,R1134,R500,0,108m²,,
R 3 200 000,4,3,6,House,,R1300,1,,1.0,922m²
R 450 000,,1,,Apartment/Flat,R1210,,0,47m²,,47m²
R 799 000,3,1,2,House,,,0,,1.0,495m²
R 950 000,,,4,House,,,0,,,669m²
R 1 395 000,,,,House,,,0,,,
R 1 195 000,2,1.5,1,Apartment/Flat,R2800,R950,0,122m²,0.0,
R 1 890 000,2,1,1,Apartment/Flat,R3300,R1100,1,84m²,1.0,
R 799 000,2,1.5,,Apartment/Flat,,,0,85m²,,915m²
R 8 499 900,,,,,,,0,,,
R 1 190 000,3,2,1,Apartment/Flat,,,0,100m²,,100m²
R 480 000,,,,House,,,0,,,
R 560 000,1,1,1,Apartment/Flat,R1399,R352,0,43m²,0.0,
R 6 599 000,5,5,4,House,,,1,,1.0,2379m²
R 3 850 999,3,2,,Apartment/Flat,R4131,R1634,0,124m²,,
R 6 995 000,3,3,2,Apartment/Flat,,,0,214m²,,
R 779 000,,,,Townhouse,,,0,,,
R 240 000,1,1,,Apartment/Flat,R1013,,0,,,
R 2 500 000,7,4,1,House,,,0,,,911m²
R 150 000,0.5,1,,Apartment/Flat,R650,R10,0,40m²,,
R 1 300 000,,,,House,,,0,,,
R 2 300 000,,,,CommercialProperty,,R4286,0,340m²,,496m²
R 1 199 000,2,2,,Apartment/Flat,R1325,R343,0,101m²,,
R 5 500 000,7,7,9,House,,R3500,1,,1.0,300m²
R 1 299 000,3,2,4,House,,R537,1,,0.0,409m²
R 680 000,2,1,1,Townhouse,R2090,,0,62m²,,
R 840 000,3,2,2,Townhouse,,R508,0,72m²,0.0,
R 620 000,3,1,3,House,,,0,,,
R 6 000 000,,,,IndustrialProperty,,,0,820m²,,1907m²
R 6 500 000 - R 7 990 000,,,,,,,0,,,
R 1 580 000,2,2,1,Apartment/Flat,,R1486,0,105m²,1.0,21169m²
R 749 000,3,1,2,House,,,1,,,410m²
R 2 100 000,4,2,7,House,,R541,0,496m²,1.0,496m²
R 2 600 000,5,3,3,House,,,0,,,
R 1 299 000,3,2,3,House,,,0,,,
R 2 600 000,8,4,14,House,,,1,,1.0,17231ha
R 600 000,2,1,1,Townhouse,,,0,61m²,,
R 8 900 000,6,6,4,House,,R4038,1,900m²,1.0,2024m²
R 3 999 000,3,2,2,House,,,1,,,1487m²
R 2 950 000,4,2,4,House,,,1,,,1983m²
R 9 500 000,4,4,16,House,,R1747,1,,,2ha
R 699 000,1,1,1,Apartment/Flat,R332,R881,0,43m²,1.0,
R 1 817 000,3,2,4,House,,R688,0,,1.0,792m²
R 1 250 000,4,2,1,House,,,1,,,
R 4 300 000,2,2.5,2,Apartment/Flat,,,1,118m²,0.0,
R 2 799 000,4,2,6,House,,R520,0,,,876m²
R 6 600 000,5,4,4,House,R2000,R1000,1,700m²,1.0,600m²
R 1 195 000,2,2.5,1,Apartment/Flat,,,0,119m²,,119m²
R 5 680 000,4,3,3,House,,,1,,1.0,600m²
R 1 800 000 - R 5 400 000,,,,,,,0,,,
R 5 995 000,4,4.5,3,Townhouse,R5165,R3825,0,260m²,0.0,500m²
R 1 100 000,3,2.5,2,Townhouse,R2276,R401,1,177m²,1.0,
R 1 695 000,3,2,2,Apartment/Flat,R2410,R1478,1,119m²,0.0,
R 1 600 000,4,2,,Townhouse,,R720,0,248m²,0.0,247m²
R 900 000,3,3,2,House,,,0,,,300m²
R 819 000,2,1,,Apartment/Flat,R1532,R600,0,67m²,0.0,
R 2 350 000,2,2,2,Apartment/Flat,R3970,R1464,0,108m²,1.0,
R 10 000 000,,,,VacantLand/Plot,,,0,,,10085m²
R 4 990 000,2,2.5,2,Apartment/Flat,,,0,150m²,,
R 5 500 000,4,3,4,House,,R2744,1,,1.0,1986m²
R 1 370 000,3,2,3,House,,,0,,,500m²
R 1 199 000,2,2,,Apartment/Flat,R630,R881,0,101m²,,
R 1 000 000,3,2,4,House,,,0,,,496m²
R 4 850 000,4,4,3,House,,,1,,,495m²
R 529 000,1,1,,Apartment/Flat,R812,R313,0,41m²,0.0,
R 1 300 000,1,1,2,Apartment/Flat,R3772,R1400,0,98m²,,
R 2 499 900 - R 3 099 900,,,,,,,0,,,
R 680 000,2,1.5,2,Townhouse,,,0,,,
R 1 800 000,2,2,1,Apartment/Flat,R5882,,1,,,
R 1 800 000,4,2,6,House,,R856,1,,,2023m²
R 6 500 000,5,4.5,3,House,,,1,,,1983m²
R 2 495 000,4,3.5,1,House,,R1600,0,320m²,1.0,900m²
R 8 500 000,5,4.5,5,House,,,1,,,1991m²
R 12 500 000,5,4.5,2,Townhouse,R8700,,1,,0.0,818m²
R 8 900 000,5,4.5,2,House,,,1,,,1983m²
R 1 350 000,6,2,1,House,,R480,0,,1.0,499m²
R 1 899 000,3,2,1,Apartment/Flat,,,0,,,
R 1 250 000,1,1,1,Apartment/Flat,R1841,R828,1,68m²,0.0,4638m²
R 395 000,,,,Townhouse,,,0,,,
R 260 000,2,1,,Apartment/Flat,R350,R650,0,,,
R 2 350 000,4,3,2,House,,,1,,1.0,1316m²
R 1 500 000,12,12,10,House,,,0,,,500m²
R 449 999,2,1,2,Apartment/Flat,,,0,,,
R 650 000,3,2,3,House,,,0,,1.0,496m²
R 1 102 500,,,,CommercialProperty,,,0,,,
R 1 050 000,3,1,4,House,,R445,0,,1.0,477m²
R 739 000 - R 789 000,,,,,,,0,,,
R 9 500 000,,,,CommercialProperty,,R16000,0,802m²,,805m²
R 1 690 000,3,2,6,House,,R623,0,,,495m²
R 800 000,3,1,,House,,R175,0,942m²,1.0,
R 6 450 000,2,1,3,Apartment/Flat,R3720,,0,157m²,,4054m²
R 1 150 000,3,2,2,House,,,0,,,248m²
