price,bedrooms,bathrooms,Type of Property,Pool,parking space,Erf Size,Levies,Rates and Taxes,Pets Allowed,Floor Size
R 455 000,1,1,Apartment/Flat,0,,,,,,
R 3 450 000,4,2,House,1,2,1787m²,R1050,R3620,1.0,
R 11 287 500,3,3,House,1,2,677m²,,,1.0,505m²
R 530 000,,1,Apartment/Flat,1,,,R1300,R300,0.0,32m²
R 3 950 000,3,3,House,1,4,1020m²,,R2363,,
R 650 000,2,1,Apartment/Flat,1,,655m²,R1900,R300,0.0,33m²
R 320 000,1,1,Apartment/Flat,0,,,R1100,,,48m²
R 499 000,2,1,Apartment/Flat,0,,,R1000,R380,,
R 650 000,1.5,1,Apartment/Flat,0,1,,R2693,R842,,82m²
R 6 750 000,,,IndustrialProperty,0,,2000m²,,,,
R 830 000,3,1.5,Apartment/Flat,0,1,,,,,
R 1 350 000,3,2,House,1,2,495m²,,,,
R 3 495 000,2,2.5,Townhouse,0,2,,R2900,,,
R 550 000,1,1,Apartment/Flat,0,,1000m²,R1624,,,45m²
R 2 650 000,3,2,House,1,4,2234m²,,R1500,1.0,
R 1 550 000,,,CommercialProperty,0,,764m²,,,,
R 1 200 000,,,House,0,,,,,,
R 855 000,3,2.5,Townhouse,0,2,2882m²,R2250,R1950,1.0,152m²
R 775 000,1,1,Apartment/Flat,0,1,,R2116,R1371,,66m²
R 4 500 000,,,Farm,0,,,,,,
R 570 000,,,,0,,,,,,
R 2 900 000,2,2,Apartment/Flat,1,2,,,,0.0,
R 2 709 000,4,2,House,0,3,1250m²,,R1400,,400m²
R 630 000,2,1,Apartment/Flat,0,,201m²,R1500,R400,,72m²
R 4 000 000,3,3.5,Townhouse,0,7,,R2000,,0.0,420m²
R 1 149 000,6,2,House,0,,248m²,,R530,,
R 720 000,2,2,Apartment/Flat,1,1,,R1831,,,69m²
R 847 000,2,1,Apartment/Flat,1,1,,,,,
R 3 300 000,2,2,House,1,3,495m²,,R2550,1.0,
R 4 300 000,2,2.5,Apartment/Flat,0,,141m²,,,,141m²
R 4 500 000,5,5,House,0,3,634m²,R1500,R3000,1.0,
R 4 499 000,3,2,House,1,2,495m²,,R2760,1.0,320m²
R 750 000,2,1,Apartment/Flat,0,1,,R3207,R565,0.0,108m²
R 600 000,2,1,Apartment/Flat,1,2,65m²,,R340,0.0,
R 400 000,,1,Apartment/Flat,1,1,37m²,R1458,R650,,37m²
R 1 150 000,1,1.5,Apartment/Flat,0,1,,R1944,R463,1.0,94m²
R 2 500 000,,,Apartment/Flat,0,,1150m²,,,,650m²
R 299 999,1,1,Apartment/Flat,0,,,R1800,R769,,
R 450 000,2,1,Apartment/Flat,0,,69m²,R990,R240,,
R 2 500 000,4,1,House,1,4,1.713ha,,,,
R 1 699 900 - R 2 399 900,,,,0,,,,,,
R 1 999 000,4,3.5,House,1,4,1487m²,,R1426,1.0,
R 1 449 000,2,2,Apartment/Flat,1,1,,R2262,R938,,70m²
R 1 190 000,3,2,Townhouse,1,2,,R1870,R640,,97m²
R 6 499 000,3,3.5,House,1,4,1350m²,,,1.0,680m²
R 3 500 000,4,2,House,1,2,1983m²,,R3616,1.0,
R 12 000 000,5,6.5,House,1,5,2359m²,,R4500,1.0,700m²
R 3 050 000,3,2,House,0,3,,,,,223m²
R 2 780 000,3,2,House,1,6,1205m²,,,1.0,
R 1 695 000,4,2.5,House,1,1,355m²,,R846,1.0,300m²
R 4 399 000,4,3,House,1,2,1024m²,,,1.0,320m²
R 550 000,5,1,House,1,1,,,,0.0,
