price,Type of Property,Pets Allowed,Pool,bedrooms,bathrooms,parking space,Erf Size,Floor Size,Levies,Rates and Taxes
R 3 795 000,Farm,1.0,1,,,,,,,
R 8 500 000,Townhouse,0.0,1,4,4.5,2,842m²,520m²,R4345,R2900
R 2 350 000,Apartment/Flat,,0,4,2,2,,275m²,R6176,R817
R 765 000,Apartment/Flat,,0,,,,,,R2247,
R 350 000,Apartment/Flat,0.0,0,3,2,1,,100m²,R1609,
R 4 500 000,Apartment/Flat,0.0,1,2,2,2,,100m²,R3889,
R 590 000,Apartment/Flat,0.0,1,2,1,1,17161m²,61m²,R1300,R380
R 1 565 000,House,1.0,0,4,2,2,661m²,209m²,,
R 5 650 000,Apartment/Flat,0.0,0,3,3.5,2,,257m²,R4000,R3500
R 1 100 000,Townhouse,,0,1,1,,,77m²,,R868
R 2 299 000,House,1.0,1,3,2,3,495m²,,,R2000
R 490 000,Apartment/Flat,,0,0.5,1,,5158m²,26m²,R1186,R253
R 7 995 000,House,1.0,0,4,5,4,2371m²,798m²,,R900
R 1 850 000,CommercialProperty,,0,,,,495m²,380m²,,R897
R 1 399 000,Apartment/Flat,1.0,1,3,2,1,,108m²,R1372,R363
R 1 575 000,Apartment/Flat,0.0,0,3,1,2,4465m²,159m²,R2550,R675
R 950 000,Apartment/Flat,1.0,0,1,1,,725m²,81m²,R2400,
R 2 999 000,House,,1,5,3,4,,,,
R 9 799 000,Townhouse,,0,,,,495m²,,,
R 2 350 000,Apartment/Flat,,1,,1,1,,52m²,R2244,
R 2 370 500 - R 2 552 550,,,0,,,,,,,
R 850 000,Townhouse,,0,3,2,,,78m²,R1500,R800
R 650 000,Apartment/Flat,,0,3,2,,,2095m²,R1650,R200
R 2 595 000,Townhouse,1.0,0,2,2,,,125m²,R2493,R1615
R 2 250 000,Apartment/Flat,,0,2,2,,73.3m²,73m²,R2200,R1150
R 1 350 000,Apartment/Flat,1.0,0,1,1,,,85m²,R1448,R1363
R 7 390 000,Apartment/Flat,0.0,0,3,3.5,2,,315m²,R4000,R3500
R 1 975 000,House,0.0,1,4,2,2,1790m²,,,R1000
R 5 500 000,Apartment/Flat,,0,3,2.5,,124m²,124m²,R3814,R1850
R 1 149 999,Apartment/Flat,1.0,0,2,1,3,,,,
R 1 400 000,Apartment/Flat,,1,2,2,,6354m²,74m²,R2197,
R 699 000,Apartment/Flat,,0,2,1,,,,R1244,R350
R 1 950 000,House,1.0,0,10,10,14,1487m²,500m²,,R900
R 3 999 000 - R 4 249 000,,,0,,,,,,,
R 489 000,Apartment/Flat,0.0,0,1,1,,,,R388,
R 2 899 000,House,1.0,1,3,2.5,2,1487m²,,,
R 1 150 000,House,,0,3,2,2,800m²,,,
R 1 400 000,House,1.0,0,3,2,4,211m²,,R540,
R 257 000,Apartment/Flat,,0,2,1,,,,,
R 2 300 000,VacantLand/Plot,,0,,,,929m²,530m²,,
R 2 250 000,House,,0,3,2,2,995m²,230m²,R700,R600
R 699 000,Apartment/Flat,,0,1,1,,,43m²,R920,R110
R 4 000 000,CommercialProperty,,0,,,,1136m²,1800m²,,R7335
R 1 200 000,House,,0,2,2,3,740m²,235m²,R500,R1296
R 10 000 000,House,1.0,1,5,5,2,1300m²,720m²,,
R 640 000,Apartment/Flat,,0,1,1,1,56m²,983m²,R1486,R1157
R 10 500 000,House,1.0,1,4,4.5,2,2214m²,900m²,,
R 600 000,Apartment/Flat,,0,2,1,2,,,,
R 365 000,Apartment/Flat,,0,2,1,1,1243m²,107m²,R1450,
R 2 600 000,House,,0,3,2,2,,,,
R 355 000,Apartment/Flat,0.0,0,2,1,1,991m²,118m²,,
R 11 000 000,House,,1,4,2,4,4055m²,650m²,,R2514
R 350 000,House,,0,,,,,,,
R 2 100 000,CommercialProperty,,0,,,,744m²,,,
R 550 000,Apartment/Flat,,0,2,1,1,,90m²,R1800,
R 2 350 000,House,1.0,1,4,2,3,1487m²,,,R1849
R 2 300 000,House,1.0,1,3,2,2,495m²,,,
R 5 380 000,House,,0,5,4.5,8,1106m²,650m²,,R2797
R 1 400 000,House,1.0,0,4,2,1,454m²,,,
R 29 750 000,Apartment/Flat,,0,54,54,2,,,,
R 620 000,Townhouse,,1,2,1,1,,60m²,R1600,R220
R 1 650 000,House,1.0,1,3,1,1,744m²,,,R1527
R 2 600 000,House,,0,4,1,,990m²,990m²,,R800
R 2 200 000,House,1.0,1,6,3,4,804m²,,,R500
R 1 900 000,House,,1,4,2,6,1487m²,,,R1500
R 1 750 000,House,,1,2,1.5,5,495m²,,,
R 3 700 000,Apartment/Flat,,0,2,2,,106.6m²,106m²,R3800,R1549
R 3 100 000,House,,0,4,2,2,,,,R1500
R 2 189 000,House,1.0,1,4,2.5,3,1200m²,260m²,,
R 3 355 000 - R 3 730 000,,,0,,,,,,,
R 1 295 000,House,,1,3,1.5,6,,,,
R 2 600 000,House,,0,4,2,10,711m²,,,
R 3 500 000,CommercialProperty,,0,,,,400m²,465m²,,
R 2 100 000,Apartment/Flat,1.0,0,2,2,1,2478m²,130m²,R4500,R500
R 999 999,House,,0,5,5,8,500m²,,,
R 3 500 000,Townhouse,,0,3,2,2,,252m²,R3500,
R 4 200 000,Apartment/Flat,0.0,0,3,2.5,2,,,R3281,
R 3 999 000,Apartment/Flat,,0,,,,,450m²,,
R 2 800 000,House,,0,3,2,4,1013m²,,,
R 225 000,Apartment/Flat,0.0,0,0.5,1,,,28m²,R719,R392
R 739 000,Apartment/Flat,0.0,0,3,2,1,,,,
R 1 250 000,Apartment/Flat,,1,1,1,,,80m²,R3200,R1200
R 1 350 000,Apartment/Flat,,1,1,1,1,,85m²,R2200,R1300
R 7 993 000,CommercialProperty,,0,,,,3438m²,1500m²,,
R 4 002 000,Apartment/Flat,,0,2,2,,92m²,,R3045,
R 4 899 000,CommercialProperty,0.0,0,,,,496m²,,R5000,R5000
R 540 000,Townhouse,,0,2,1,1,,53m²,R2000,R300
R 2 500 000,House,,0,10,7,9,,,,
R 1 400 000,House,,0,3,2,5,1129m²,,,
R 6 500 000 - R 7 990 000,,,0,,,,,,,
R 649 000,Townhouse,0.0,1,3,1,1,,70m²,R1600,R500
R 3 600 000,House,1.0,1,4,3,2,1983m²,,,R3072
R 699 000,Apartment/Flat,1.0,0,1,1,1,,43m²,R920,R163
R 1 495 000,House,1.0,1,2,1,,595m²,,,R657
R 2 450 000,Apartment/Flat,,1,3,2,2,,129m²,R3800,R1500
R 985 000,Apartment/Flat,,0,1,1,1,1799m²,65m²,R2000,
R 960 000,House,1.0,0,3,1,,,,,
R 590 000,Apartment/Flat,,1,1,1,1,1016m²,43m²,,R200
R 420 000,Apartment/Flat,,0,3,1,,994m²,101m²,R1300,
R 2 800 000,House,,0,,,,,,,
R 990 000,Apartment/Flat,1.0,0,3,2.5,1,,190m²,R3000,R350
R 3 850 000,House,,0,4,3,,1984m²,,,
