price,bedrooms,bathrooms,Type of Property,Pool,parking space,Floor Size,Levies,Rates and Taxes,Pets Allowed,Erf Size
R 2 200 000,6,3,House,0,,,,,,
R 874 500,3,2,Townhouse,0,1,98m²,R1694,,,
R 1 199 000,2,2,Apartment/Flat,0,,101m²,R1325,R263,,
R 3 695 000,3,3,Apartment/Flat,0,2,151m²,R5124,R1553,0.0,
R 420 000,1,1,Apartment/Flat,0,,,R1300,R500,,
R 3 299 000,3,2,House,1,2,,,R1989,1.0,
R 2 299 000,3,2,Townhouse,0,2,,,,,3723m²
R 500 000,2,1,Apartment/Flat,0,1,69m²,R2300,R450,0.0,
R 2 095 000,2,2,Apartment/Flat,0,,159m²,R2430,,,
R 3 999 000,3,3,House,1,2,221m²,R3200,R1200,1.0,
R 450 000,0.5,1,Apartment/Flat,0,1,27m²,,,,
R 4 800 000,3,2.5,House,1,2,,,,,1487m²
R 6 999 000,6,3,House,1,6,,,,,1218m²
R 1 650 000,3,2,House,1,4,,,R715,1.0,1353m²
R 28 000 000,134,20,Apartment/Flat,0,,,,R2999,,1403m²
R 1 049 000,10,2,House,0,3,,,,0.0,495m²
R 8 500 000,,,VacantLand/Plot,0,,,,,,
R 620 000,3,1,House,0,3,,,,,
R 1 700 000,5,3,House,0,4,,,,,990m²
R 395 000,0.5,1,Apartment/Flat,0,,26m²,R1000,,0.0,
R 1 149 000 - R 1 219 000,,,,0,,,,,,
R 675 000,3,1,Apartment/Flat,0,,61m²,R1900,R400,,61m²
R 4 950 000,3,2.5,House,1,10,,,R5590,1.0,1762m²
R 1 199 000,4,3,House,0,,,,R450,,511ha
R 1 100 000,3,2,Townhouse,1,2,163m²,R2800,R750,0.0,
R 819 000,2,1,Apartment/Flat,0,,,R3100,,,
R 775 000,2,2,Townhouse,1,,,R2750,,,
R 2 400 000,4,3,House,0,6,,,,,
R 895 000,3,1,House,0,3,,,R458,1.0,495m²
R 3 590 000,3,3,House,1,2,,,R2638,1.0,1983m²
R 3 300 000,,,IndustrialProperty,0,,,,R2552,,573m²
R 1 990 000,2,2.5,Townhouse,0,1,102m²,R2670,R1200,,
R 1 200 000,3,1,House,0,1,,,R200,,
R 599 999,1,1,Apartment/Flat,0,,,,,,
R 17 500 000,4,3.5,House,1,4,,,R7800,1.0,
R 2 650 000,2,2.5,House,1,2,223m²,R4409,R2270,1.0,
R 595 000,2,1,Apartment/Flat,1,1,60m²,R1800,,,2985m²
R 900 000,2,1,Apartment/Flat,1,,,R3729,,,
R 2 700 000 - R 5 400 000,,,,0,,,,,,
R 2 900 000,2,2.5,Apartment/Flat,1,2,130m²,,,0.0,
R 990 000,3,2,House,0,,495m²,,R1500,,495m²
R 4 900 000,2,2.5,Apartment/Flat,0,2,157m²,R3543,,0.0,
R 5 300 000,4,3.5,House,1,2,,,,1.0,2032m²
R 6 500 000,5,4.5,House,1,2,460m²,R1485,R1625,,660m²
R 1 890 000,3,2,Apartment/Flat,0,1,165m²,R4500,R1510,,
R 1 195 000,3,3,House,0,2,,,,,548m²
R 1 950 000,3,2,Apartment/Flat,1,1,181m²,,,0.0,
R 3 700 000,3,2,House,1,2,,,,1.0,851m²
R 750 000,3,2,House,0,,,,R82,,660m²
R 630 000,,,House,0,,,,,,219m²
R 1 100 000,3,2,Townhouse,1,2,158m²,R2900,R550,,
R 1 995 000,4,2.5,House,1,2,,,R1800,0.0,1696m²
R 1 850 000,3,2,Apartment/Flat,1,2,158m²,R4289,R1089,,
R 1 250 000,3,2,House,0,,750m²,,R800,,945m²
R 1 250 000,3,2,House,0,3,,,,,560m²
R 1 410 000,2,1,Apartment/Flat,0,2,100m²,R1781,,1.0,
