price,bedrooms,bathrooms,Type of Property,Floor Size,Pets Allowed,Pool,parking space,Erf Size,Rates and Taxes,Levies
R 5 500 000,3,2,Apartment/Flat,180m²,0.0,1,,,,
R 1 250 000,2,2.5,Apartment/Flat,105m²,,1,2,,,
R 2 790 000,4,3,House,,,0,3,999m²,R1132,
R 1 640 000,9,4,House,,1.0,0,,494m²,R2000,
R 2 700 000,3,2,Apartment/Flat,160m²,,0,6,160m²,,
R 5 700 000,4,3,House,,,1,2,1500m²,R1265,
R 1 300 000,1,1,Apartment/Flat,62m²,,1,1,62m²,,
R 11 499 000,5,5.5,House,750m²,0.0,1,6,1000m²,,
R 1 895 000,4,2,House,,1.0,1,2,1090m²,R651,
R 1 799 000,28,20,Townhouse,,,0,,495m²,,
R 17 000 000,9,5,House,2407m²,,0,5,3281m²,,
R 1 195 000,2,1,Apartment/Flat,70m²,,1,1,,,
R 17 700 000,5,4.5,House,,,1,3,4666m²,R6000,
R 7 300 000,5,3.5,House,,1.0,1,3,1860m²,R2736,
R 20 000 000,,,Farm,,1.0,1,,,,
R 4 300 000,4,3,House,,0.0,1,,1047m²,R2000,
R 15 000 000,,,IndustrialProperty,3300m²,,0,,3300m²,,
R 3 100 000,,,CommercialProperty,,,0,,1088m²,,
R 3 800 000,2,2.5,Apartment/Flat,122m²,0.0,1,2,,,
R 1 999 000,,,VacantLand/Plot,,,0,,2600m²,,
R 4 990 000,,,,,,0,,,,
R 580 000,2,1,Townhouse,,,1,1,,R120,R800
R 10 944 000,,,CommercialProperty,,,0,,576m²,,
R 650 000,3,1,House,,,0,1,650m²,R250,
R 11 999 000,5,4.5,House,800m²,0.0,1,7,1066m²,R4500,
R 1 370 000,12,12,House,,0.0,0,,495m²,R10114,
R 5 200 000,,,House,,,0,,,,
R 200 000,0.5,1,Apartment/Flat,51m²,0.0,0,1,,R200,R800
R 12 000 000,5,4,House,,,1,8,2088m²,R407752,
R 1 499 000,2,3,Townhouse,132m²,0.0,0,,,R1290,R2084
R 5 500 000,,,VacantLand/Plot,,1.0,0,,31728m²,,
R 13 000 000,,,IndustrialProperty,5300m²,,0,,9377m²,,
R 17 000 000,,,CommercialProperty,249m²,,0,,3768700m²,,
R 1 600 000,2,3,Townhouse,200m²,0.0,0,2,,,
R 2 300 000,5,5,House,,1.0,0,7,1198m²,R630,
R 7 500 000,4,4.5,House,,1.0,1,6,614m²,R5000,
R 550 000,0.5,1,Apartment/Flat,37m²,,0,1,1799m²,,
R 4 950 000,4,3,House,,1.0,1,4,3092m²,R3095,
R 5 499 000,,,VacantLand/Plot,,,0,,495m²,,
R 59 000 000,,,CommercialProperty,7640m²,,0,,,,
R 1 520 000 - R 1 755 000,,,,,,0,,,,
R 6 700 000,5,3.5,House,,1.0,0,4,616m²,,
R 420 000,1,1,Apartment/Flat,45m²,0.0,1,1,,,
R 1 800 000,4,2,House,,1.0,0,,638m²,,
R 1 299 000,2,1,Apartment/Flat,70m²,,0,1,496m²,,
R 6 800 000,2,2.5,Apartment/Flat,189m²,0.0,1,2,,R3442,R7679
R 13 000 000,,,CommercialProperty,,,0,,,,
R 2 200 000,2,2,Apartment/Flat,148m²,,0,1,,R1117,R3189
R 700 000,2,1,Townhouse,,,0,,,,
R 539 000,,,,,,0,,,,
R 1 299 000,3,2,Townhouse,223m²,1.0,1,2,223m²,R754,R299
R 2 350 000,3,1.5,House,,,1,2,996m²,,
R 1 350 000,,,VacantLand/Plot,,,0,,900m²,,
R 1 400 000,3,2,House,,,0,4,,,
R 30 000 000,5,5.5,House,,,1,3,4015m²,R7600,
R 2 500 000,6,4.5,House,,1.0,0,5,685m²,,
R 4 000 000,5,2,House,488m²,1.0,0,4,1700m²,R2890,
R 500 000,1,1,Apartment/Flat,,,0,,,,
R 1 850 000,3,2.5,House,,,0,2,799m²,R527,
R 2 395 000,1,1,Apartment/Flat,50m²,1.0,1,1,,R1450,R2000
R 5 950 000,2,2.5,House,,,1,3,934m²,,
R 585 000,,,VacantLand/Plot,,,0,,447m²,,
R 11 900 000,5,4,House,,0.0,1,33,5635m²,R2800,
R 999 999,3,1,House,,1.0,0,1,496m²,R452,
R 1 395 000,3,2.5,House,,1.0,1,,495m²,R615,
R 1 265 000,4,2,House,,1.0,0,1,743m²,,
R 10 999 000,5,6,Townhouse,850m²,1.0,1,2,1040m²,R11000,R9000
R 990 000,4,2,House,,,0,6,495m²,R700,
R 2 800 000,3,2,House,,1.0,1,2,1140m²,R2310,
POA,,,IndustrialProperty,,,0,,1200m²,,
R 255 000,1,1,Townhouse,35m²,,0,,,,
R 5 999 000,4,3.5,House,,1.0,1,3,2042m²,R4500,
R 3 700 000,,,IndustrialProperty,744m²,,0,,744m²,,
R 1 100 000,3,3,House,,,0,4,458m²,,
R 3 700 000,3,3,House,,1.0,0,4,669m²,R1279,
R 1 025 000,2,1,Apartment/Flat,75m²,1.0,1,2,,R492,R1686
R 350 000,1,1,Apartment/Flat,95m²,,0,1,,,R1267
R 6 999 000,5,4,House,,1.0,1,4,3240m²,,
R 1 950 000,3,2,House,,,1,4,990m²,R900,
R 1 900 000,,,CommercialProperty,,,0,,500m²,R1200,
R 7 500 000,,,CommercialProperty,,0.0,0,,,,
R 750 000,2,1,Townhouse,,0.0,1,1,,,
