price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 1 999 000,1,1,1,Apartment/Flat,48m²,R2000,1.0,1,,
R 9 000 000,,,,IndustrialProperty,11883m²,,,0,11883m²,
R 7 499 000,4,4.5,2,House,,,1.0,1,838m²,
R 550 000,1,1,,Apartment/Flat,,,,0,,
R 970 000,6,2,4,House,,,,0,,
R 980 000,3,2,1,Townhouse,89m²,,,0,89m²,
R 445 000,1,1,,Apartment/Flat,26m²,,,0,26m²,
{{price}},,,,,,,,0,,
R 749 000,3,3,,House,,,,0,338m²,R400
R 1 050 000,12,12,1,House,,,,0,,
R 1 000 000,11,4,,House,,,,0,,
R 2 450 000,3,2.5,7,Townhouse,215m²,R750,1.0,1,308m²,R2092
R 850 000,1,1,,Apartment/Flat,53m²,,0.0,0,,
R 2 300 000,,,,CommercialProperty,,,,0,,
R 2 595 000,5,4,4,House,,,1.0,0,978m²,R800
R 2 299 000,2,2,2,House,,,,0,496m²,
R 690 000,2,1,,Townhouse,,,,0,,
R 985 000,3,2,,House,,,,0,,
R 550 000,3,1,1,House,,,,0,,
R 999 950 - R 2 550 000,,,,,,,,0,,
R 850 000,3,2,2,House,,,,0,856m²,
R 1 299 000,5,2,4,House,130m²,,0.0,0,,
R 535 000,1,,1,Apartment/Flat,,R820,,0,,R328
R 650 000,1,1,,Apartment/Flat,,,0.0,0,,
R 699 000,2,1,2,Townhouse,78m²,,1.0,1,78m²,
R 2 500 000,,,,VacantLand/Plot,,,,0,930m²,
R 5 900 000,3,2,2,House,,,,0,1491m²,R2788
R 6 500 000,,,,CommercialProperty,,,,0,,
R 1 900 000,2,2,2,Apartment/Flat,118m²,,0.0,0,,
R 750 000,3,1,1,House,,,1.0,0,,R450
R 650 000,1,1,1,Townhouse,59m²,R2200,0.0,1,,R550
R 8 500 000,,,,CommercialProperty,,,,0,1.1ha,
R 550 000,,,,House,,,,0,,
R 580 000,2,1,1,House,,,,0,,
R 2 350 000,3,2.5,2,House,,,,0,495m²,
R 2 700 000,,,,CommercialProperty,900m²,,,0,759m²,
R 2 200 000,1,,1,Apartment/Flat,44m²,,,0,,
R 750 000,4,2,2,House,,,0.0,0,472m²,
R 1 300 000,5,1,3,House,,,0.0,0,495m²,R800
R 2 750 000,3,1,2,House,,,1.0,0,519m²,
R 2 475 000 - R 2 499 000,,,,,,,,0,,
R 1 150 000,3,2,,House,,,0.0,0,464m²,
R 2 600 000,2,1,2,Apartment/Flat,118m²,R4100,,0,,R1000
R 350 000,3,1,,House,,,,0,150m²,
R 2 350 000,5,3,2,House,,,,1,1027m²,
R 4 950 000,5,5,2,House,850m²,,1.0,1,1221m²,R1692
R 1 500 000,,,,CommercialProperty,,,,0,495m²,R1200
R 1 700 000,,,,CommercialProperty,,,,0,495m²,
R 4 300 000,2,2.5,2,Apartment/Flat,120m²,R5389,0.0,1,,R2685
R 350 000,0.5,1,,Apartment/Flat,28m²,R700,0.0,0,5158m²,R300
R 680 000,1,1,,Apartment/Flat,55m²,,,0,,
R 1 150 000,3,2,2,House,,,,0,495m²,
R 4 300 000,3,3.5,2,Townhouse,,,,0,,
R 1 850 000,4,2,,House,,,1.0,0,992m²,R446
R 535 000,2,1,,Apartment/Flat,,,,0,61m²,
R 2 850 000,,,,House,21000m²,,,0,,
R 3 000 000,3,3,2,House,,,,1,2906m²,
R 890 000,4,2,,House,317m²,,,0,,R463
R 62 500 000,,,,CommercialProperty,61000m²,,,0,61000ha,
R 3 990 000,5,4,2,House,,,,1,1540m²,
R 550 000,2,1,,House,,,,0,254m²,
R 739 000 - R 789 000,,,,,,,,0,,
R 2 578 600,3,2,2,House,,,,1,495m²,
R 3 950 000,3,2,8,House,,,1.0,1,1252m²,
R 1 550 000,4,2,1,House,558m²,,,0,558m²,R650
R 1 150 000,,,,CommercialProperty,,,0.0,0,495m²,
R 35 000 000,,,,CommercialProperty,,,,0,2970m²,
R 8 500 000,3,3,2,Apartment/Flat,245m²,,0.0,0,,
R 1 099 000,3,2,1,House,,,1.0,0,314m²,
R 1 520 000,3,1,1,House,,,,0,496m²,
R 520 000,1,1,,Apartment/Flat,41m²,R1000,0.0,0,,R1100
R 1 680 000,15,6,12,House,,,0.0,0,495m²,
R 875 000,3,1,,House,,,0.0,0,364m²,
R 19 900 000,4,4.5,3,House,,,1.0,1,3866m²,
R 1 800 000,2,2,3,House,,,1.0,0,743m²,R1400
R 11 900 000,6,3.5,5,House,,,1.0,1,5770m²,
R 3 900 000,3,2.5,4,Townhouse,,,0.0,0,,R3000
R 2 300 000,,,,VacantLand/Plot,,,,0,,
R 995 000,2,2,1,Apartment/Flat,121m²,R3103,,0,,R469
R 785 000,2,2,1,Apartment/Flat,,R1560,0.0,0,,R427
R 13 600 000,3,4,2,Apartment/Flat,,R5543,,1,465m²,R5543
R 1 650 000,3,2,5,House,,,,0,495m²,R672
R 1 149 000 - R 1 219 000,,,,,,,,0,,
R 3 200 000,3,2,8,House,100m²,,1.0,1,1459m²,R1355
R 3 250 000,2,2,2,Apartment/Flat,142m²,,0.0,1,,
R 1 600 000,1,1,1,Apartment/Flat,65m²,,0.0,1,,
R 660 000,2,1.5,2,House,,,,0,,
R 1 799 000,2,2,2,House,,,,1,495m²,
R 790 000,2,1.5,2,Apartment/Flat,95m²,,,0,,
R 2 250 000,6,5,10,House,583m²,,1.0,0,,R583
R 1 295 000,8,3,,House,,,,0,496m²,
R 875 000,3,2,1,Apartment/Flat,,R1500,0.0,0,17402m²,R500
R 820 000,2,1,,House,300m²,,,0,300m²,R650
R 7 300 000,5,3.5,2,House,,,,1,1000m²,R5985
R 2 900 000,5,5,6,House,,,1.0,1,899m²,R1209
R 480 000,1,1,,Apartment/Flat,33m²,,0.0,0,,
R 550 000,1,1,,Apartment/Flat,55m²,,,0,637m²,
R 2 199 000,5,3,3,House,,R700,1.0,0,,R800
R 3 175 000,4,2,2,House,,,0.0,1,,
R 10 950 000,5,5,4,House,,,1.0,0,1388m²,R4472
R 1 699 900 - R 2 399 900,,,,,,,,0,,
R 1 750 000,9,,,House,,,,0,,
R 14 850 000,,,,CommercialProperty,,,,0,3000m²,
R 11 500 000,5,4.5,7,House,,,1.0,1,3588m²,
R 3 250 000,4,2,3,House,,,,1,1017m²,
R 750 000,2,1,1,Townhouse,73m²,R2000,,0,,R452
R 750 000,2,1,,Apartment/Flat,,,,0,,
R 4 100 000,6,2,9,House,,,1.0,0,942m²,
R 4 995 000,4,3.5,4,House,,,1.0,1,1170m²,
R 7 200 000,,,,CommercialProperty,,,,0,1787m²,
R 3 500 000,,,,House,,,,0,,
R 675 000,2,1,1,Apartment/Flat,51m²,R744,,0,,R513
