price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Pool,Erf Size,Levies,Rates and Taxes,Pets Allowed
R 720 000,2,1,2,Apartment/Flat,67m²,0,,,,
R 1 270 000,2,2,1,Apartment/Flat,101m²,1,10390m²,R2100,R700,
R 970 000,3,2,1,House,,0,307m²,,,1.0
R 755 000,2,1,1,Apartment/Flat,56m²,0,,R1250,R250,
R 699 000,2,1,1,Townhouse,96m²,0,1273m²,R1200,R250,
R 650 000,2,2,3,Townhouse,102m²,1,,R1198,R320,1.0
R 600 000,1,1,,Apartment/Flat,38m²,0,,,R380,
R 2 375 000,2,2,1,Apartment/Flat,146m²,1,5789m²,R5943,R1495,
R 1 490 000,3,2,1,House,,1,396m²,,R736,1.0
R 900 000,3,2,1,House,400m²,0,400m²,,R541,
POA,,,,CommercialProperty,1341m²,0,,,,
R 3 499 000,2,2,2,Apartment/Flat,225m²,0,3048m²,,R1812,0.0
R 2 700 000,3,2,2,House,1617m²,0,1623m²,,R1865,1.0
R 6 495 000,4,2,4,House,550m²,1,1985m²,,R4200,1.0
R 675 000,2,1,1,Apartment/Flat,51m²,0,,R600,R500,0.0
R 665 000,2,1,1,Apartment/Flat,51m²,0,51m²,R750,R180,
R 4 900 000,,,,,,0,,,,
R 755 000,2,1,1,Apartment/Flat,56m²,0,,R600,R200,
R 1 100 000,1,1,1,Townhouse,57m²,0,,R1813,R845,
R 665 000,2,1,1,Apartment/Flat,51m²,0,,R1300,R200,
R 3 995 000,5,3.5,3,House,660m²,1,1487m²,,R2200,
R 665 000,2,1,1,Apartment/Flat,51m²,0,,R1250,R250,0.0
R 1 785 260,3,2,2,House,142m²,0,250m²,R800,R850,1.0
R 3 950 000,,,,CommercialProperty,708m²,0,708m²,,,
R 565 000,3,1,1,Apartment/Flat,116m²,0,,R983,R154,
R 1 150 000,2,1.5,1,Apartment/Flat,71m²,0,,R2650,R771,
R 3 695 000,3,2,2,Apartment/Flat,158m²,1,,R3210,R1652,1.0
R 3 375 000,2,1,,Apartment/Flat,67m²,0,67.5m²,R2500,,
R 799 000,2,2,2,Townhouse,96m²,1,32354m²,R2125,R476,1.0
R 765 000,2,1,2,Apartment/Flat,51m²,0,,R750,R500,0.0
R 2 495 000,3,2.5,2,Apartment/Flat,211m²,0,12163m²,,R1500,
R 899 000,2,1,1,Townhouse,75m²,1,36749m²,R1600,R500,0.0
R 2 499 900 - R 3 099 900,,,,,,0,,,,
R 2 740 000,4,3.5,3,House,250m²,1,496m²,,R1470,1.0
R 899 000,4,2,2,House,600m²,0,600m²,,R414,1.0
R 540 000,1,1,3,Apartment/Flat,98m²,0,1679m²,R3479,R621,
R 850 000,2,1,1,Apartment/Flat,72m²,0,,,R612,1.0
POA,5,3,7,House,230m²,0,496m²,,R450,1.0
R 1 800 000,2,1,1,Apartment/Flat,,0,120m²,R2000,,
R 2 495 000,,,,VacantLand/Plot,,0,820m²,,,
R 4 500 000,3,2,2,House,420m²,1,1088m²,,R1715,
R 720 000,2,1,1,Apartment/Flat,79m²,1,,R2300,R388,0.0
R 1 880 000,3,2.5,3,Townhouse,135m²,1,38174m²,R3311,R753,1.0
R 5 750 000,4,3.5,6,House,301m²,1,591m²,R2300,R3000,1.0
R 1 450 000,3,2,3,House,290m²,1,725m²,,R715,1.0
R 1 520 000,4,2,2,House,,0,691m²,,R1300,1.0
R 2 350 000,3,2.5,2,Townhouse,171m²,0,1868m²,R3800,R1467,1.0
R 1 750 000,3,2,2,Townhouse,185m²,1,185m²,,R1000,1.0
R 1 100 000,2,1,1,Apartment/Flat,75m²,0,,,,
R 770 750,3,1,2,House,55m²,1,200m²,,R500,1.0
R 430 000,0.5,1,,Apartment/Flat,26m²,0,995m²,R1700,R873,0.0
R 2 500 000 - R 4 300 000,,,,,,0,,,,
R 699 000,2,1,1,Apartment/Flat,68m²,1,68m²,,R420,0.0
R 2 195 000,4,3,11,House,417m²,1,1314m²,,,1.0
R 3 700 000,4,2,4,House,380m²,1,1084m²,,,1.0
R 220 000,0.5,1,,Apartment/Flat,34m²,0,,R748,R407,0.0
R 3 000 000,3,2,1,Apartment/Flat,234m²,0,,R6215,,0.0
R 895 000,2,1,2,Apartment/Flat,78m²,1,,,R223,
R 755 000,2,1,1,House,56m²,0,,R820,R150,
R 675 000,2,1,1,House,51m²,0,,R820,R150,
R 4 900 000,,,,CommercialProperty,800m²,0,250m²,,,
R 665 000,3,2,1,Apartment/Flat,76m²,0,22301m²,R1000,R159,0.0
R 350 000,1,1,,Apartment/Flat,39m²,0,2779m²,R1300,R300,0.0
R 3 495 000,4,3,9,House,,1,1020m²,,,1.0
R 850 000,2,1,2,Townhouse,91m²,0,,,,0.0
R 1 200 000,4,2.5,3,House,495m²,0,986m²,,R493,1.0
R 830 000,,1,1,Apartment/Flat,42m²,1,,R1600,R706,0.0
R 625 000,2,1,1,Townhouse,91m²,1,,R2104,R195,
R 1 295 000,3,1.5,,House,180m²,0,671m²,,R700,1.0
R 950 000,4,2,2,House,,0,862m²,,,
R 4 690 000,3,2,2,Apartment/Flat,359m²,0,359m²,R6618,R3143,
R 1 790 000,,,,VacantLand/Plot,,0,2455m²,,R2000,
R 599 000 - R 750 000,,,,,,0,,,,
R 710 520,3,1,,House,55m²,0,150m²,,R600,1.0
R 980 000,3,2,1,Apartment/Flat,92m²,0,45999m²,R1933,R526,
R 1 475 000,3,3,5,House,210m²,1,435m²,,R450,1.0
R 2 750 000,4,2,4,House,380m²,0,1050m²,,R1500,1.0
R 850 000,3,2,1,House,70m²,0,200m²,,R500,
R 650 000,2,1,2,House,40m²,0,302m²,,R500,1.0
R 519 995,0.5,1,,Apartment/Flat,32m²,1,6354m²,R1000,R300,0.0
R 2 899 000,5,2,2,House,,0,1144m²,,R1574,1.0
