price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 949 000,5,2,2,House,495m²,496m²,R750,R400,1.0,0
R 4 650 000,,,,IndustrialProperty,2000m²,,,,,0
R 849 000,3,2,3,House,900m²,,,,,0
R 11 900 000,4,4,2,House,3965m²,,,,1.0,1
R 1 350 000,2,2,2,Apartment/Flat,,,,,,1
R 1 900 000,4,3,7,House,990m²,,,,,0
R 4 000 000,,,,CommercialProperty,1308m²,,,,,0
R 395 000,1,1,,Apartment/Flat,,,R1595,R350,,0
R 1 250 000,1,1,1,Apartment/Flat,,99m²,R2000,R800,,0
R 8 000 000,,,,CommercialProperty,991m²,,,R4230,,0
R 2 900 000,2,2,2,Apartment/Flat,,138m²,,,0.0,0
R 1 600 000,12,1,,Apartment/Flat,465m²,,,R2430,0.0,0
R 2 700 000,4,2,2,House,1487m²,,,,1.0,1
R 465 000,2,1,2,Apartment/Flat,,,,R200,,0
R 440 000,3,1,,Apartment/Flat,100m²,,,R200,,0
R 680 000,2,1.5,4,House,337m²,,,,1.0,0
R 2 600 000,,,,VacantLand/Plot,,,,,,0
R 3 700 000,3,3,2,House,259m²,,,,,1
R 1 900 000,3,2,3,House,991m²,,,,,1
R 629 000,,,,,,,,,,0
R 1 260 000,3,2,2,Townhouse,,,,,,0
R 2 900 000,6,4,,House,1983m²,,,,,1
R 2 850 000,7,7.5,,House,991m²,,,R900,1.0,1
R 2 350 000,2,2.5,1,Apartment/Flat,,143m²,,,0.0,0
R 2 700 000,3,2,2,House,900m²,,,,1.0,0
R 3 200 000,3,2,7,House,1747m²,,,,,0
R 210 000,1,1,1,Apartment/Flat,,,R200,R500,,0
R 5 950 000,5,3,8,House,2119m²,,,,1.0,1
R 3 695 000,4,4.5,4,House,763m²,,,,,0
R 175 000,1,1,,Apartment/Flat,9700m²,74m²,,,0.0,0
R 1 900 000,4,3,3,House,650m²,,,R900,,0
R 10 990 000,5,3,2,House,2088m²,,,,,0
R 14 000 000,,,,VacantLand/Plot,,,,,,0
R 6 995 000,4,4,2,House,660m²,,,,,0
R 707 180 - R 751 950,,,,,,,,,,0
R 9 000 000,5,3,10,House,1772m²,,,,,1
R 2 100 000,3,2,2,House,1600m²,,,,,1
R 2 550 000,,,,CommercialProperty,471m²,,,,,0
R 2 500 000,3,2,7,House,1167m²,,,,,0
R 1 750 000,3,2,,House,1157m²,,,,,0
R 672 000,3,1,,House,,55m²,,,1.0,0
R 2 450 000,2,2,2,House,698m²,220m²,,R1620,,0
R 1 400 000,,,,VacantLand/Plot,1828m²,,,,,0
R 1 149 000,2,1,,Townhouse,,,R1610,R500,0.0,0
R 11 500 000,4,5.5,4,House,991m²,,,,,1
R 5 750 000,,,,VacantLand/Plot,33142m²,,,R5361,,0
R 550 000,2,1,1,House,,,R1100,R500,,0
R 1 600 000,,1,,House,,,,,,0
R 1 825 000,3,2,4,House,1347m²,,,,,0
R 450 000,2,1,,House,,,,R400,,0
R 10 800 000,4,4.5,3,House,1178m²,519m²,,,,1
R 4 200 000,7,6,9,House,1995m²,,,,1.0,1
R 2 699 000,3,2.5,2,House,986m²,,,,,1
R 495 000,,,,VacantLand/Plot,,,,,,0
R 1 575 000,,,,,,,,,,0
R 10 999 999,3,2.5,4,House,2977m²,,,,,1
R 650 000,2,1,1,Apartment/Flat,,,,,,0
R 3 850 000,3,3.5,2,Apartment/Flat,,,R4000,R2500,,0
R 8 000 000,4,4,2,House,3661m²,,,,1.0,1
R 28 500 000,,,,IndustrialProperty,14500m²,14500m²,,,,0
R 2 650 000,6,3,,House,495m²,,,,1.0,0
R 5 500 000,4,2,12,House,11000m²,,,,,1
R 2 050 000,11,6,5,House,495m²,,,R1770,1.0,0
R 1 500 000,,,,CommercialProperty,495m²,,,R4500,,0
R 990 000,9,3,,House,,,,,,0
R 1 200 000,3,2,1,House,1296m²,,,,1.0,0
R 3 250 000,,,,CommercialProperty,1088m²,,,,,0
R 1 100 000,1,1,1,Apartment/Flat,,73m²,R2316,R680,,0
POA,,,,CommercialProperty,,,,,,0
R 2 099 000,,,,CommercialProperty,1500m²,,,,,0
R 990 000,3,1,4,House,,,,,,0
R 560 000,2,1,2,Apartment/Flat,,75m²,R3500,R450,,0
R 620 000,1,1,,Apartment/Flat,,49m²,,R680,0.0,0
R 820 000,2,1,1,Apartment/Flat,89m²,,R1600,,,0
R 3 250 000,19,12,122,House,2024m²,987m²,,R870,1.0,0
