price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Pets Allowed,Pool,Floor Size,Levies,Rates and Taxes
R 1 895 000,3,2,2,House,2278m²,1.0,0,,,
R 460 000,2,1,1,Apartment/Flat,,,0,,,
R 689 000,,,,House,,,0,,,
R 820 000,2,2,,Apartment/Flat,,,0,,,
R 6 560 000,,,,IndustrialProperty,2313m²,,0,,,
R 490 000,,1,,Apartment/Flat,5158m²,,1,55m²,R1500,R404
R 5 500 000,10,10,,Apartment/Flat,,,0,1m²,,
R 550 000,0.5,1,1,Apartment/Flat,,,1,,R934,R240
R 650 000,2,1,1,Townhouse,,,0,,,
R 2 950 000,,,,VacantLand/Plot,977m²,,0,,,
R 16 000 000,,,,CommercialProperty,,,0,,,
R 500 000,1,2,,Apartment/Flat,,,0,43m²,,
R 3 900 000,,,,House,,,0,,,
R 1 400 000,10,4,,House,,,0,,,
R 600 000,2,1,1,Townhouse,,,0,,,
R 9 000 000,,,,VacantLand/Plot,,,0,,,
R 590 000,2,1,,Apartment/Flat,,,0,,,
R 4 599 000,4,3,2,House,,,0,,,
R 650 000,2,1,,Townhouse,,,0,72m²,,
R 850 000,3,2,2,Apartment/Flat,,,0,,,
R 8 499 900,,,,,,,0,,,
R 1 050 000,3,2,2,House,,1.0,0,,,
R 2 100 000,,,,House,,,0,,,
R 545 000,2,1,1,Townhouse,,,0,,R670,R300
R 15 000 000,4,2,8,House,32375m²,,1,,,
R 370 000,2,1,1,Apartment/Flat,,,0,,R1800,
R 1 950 000,,,,VacantLand/Plot,900m²,,0,,,R1500
R 1 200 000,,,,VacantLand/Plot,707m²,,0,,,R900
R 1 400 000,5,1,,House,,,0,,,
R 680 000,2,1,,Townhouse,,,0,,,
R 2 600 000,5,3.5,7,House,2165m²,1.0,1,350m²,,R2506
R 1 800 000,,,,IndustrialProperty,488m²,,0,,,
R 2 200 000,8,8,,Apartment/Flat,452m²,,0,,,
R 2 400 000,3,3,2,House,,,0,,,
R 170 000,,1,,Apartment/Flat,,,0,29m²,R680,R450
R 840 000,,,,CommercialProperty,,,0,,,
R 1 699 000,,1,4,House,2152m²,,0,,,R49228
R 980 000,4,2,1,House,,,0,,,
R 70 000 000,5,5.5,2,Apartment/Flat,,,0,,,
R 1 600 000,3,2,2,House,495m²,,0,,,
R 1 230 000,8,4,1,House,,,0,,,
R 4 770 000,,,,,,,0,,,
R 550 000,1,1,,Apartment/Flat,,,0,,,
R 1 500 000,6,1.5,5,House,,,0,,,
R 20 000 000,,,,CommercialProperty,,,0,,,
R 1 650 000,6,4,4,House,,1.0,0,,,
R 3 990 000,,,,House,,,0,,,
R 4 499 000,,,,CommercialProperty,,,0,,,
R 1 550 000,,,,IndustrialProperty,775m²,,0,,,
R 3 785 000,3,2.5,2,House,,,0,,,
R 790 000,5,1,1,House,495m²,,0,110m²,R1200,R800
R 3 399 000,,,,House,,,0,,,
R 2 200 000,3,3,2,House,934m²,,0,,,
R 6 000 000,,,,CommercialProperty,,,0,,,
R 3 100 000,6,4,,House,1122m²,,0,,,
R 4 000 000,,,,IndustrialProperty,800m²,,0,800m²,,
R 1 690 000,2,2,2,Apartment/Flat,,,0,94m²,,
R 5 950 000,,,,Apartment/Flat,,,0,,,
R 570 000,2,1,,Townhouse,,0.0,0,,,
R 920 000,4,2,,House,,,0,,,
R 570 000,,,,Apartment/Flat,,,0,,,
R 22 000 000,,,,CommercialProperty,,,0,1250m²,,
R 1 520 000 - R 1 755 000,,,,,,,0,,,
POA,,,,IndustrialProperty,,,0,,,
R 780 000,1,1,,Apartment/Flat,,0.0,0,,,R1287
R 1 750 000,,,,CommercialProperty,,,0,,,
R 600 000,,,,Apartment/Flat,,,0,,,
R 4 350 000,2,2,2,Apartment/Flat,2128m²,,1,86m²,,
R 13 900 000,4,4.5,3,Apartment/Flat,,,0,,,
R 3 700 000,,,,CommercialProperty,991m²,,0,,,
R 750 000,3,2,,Townhouse,,0.0,0,,,
R 5 000 000,,,,House,,,0,,,
R 1 650 000,,,,CommercialProperty,,,0,,,
R 890 000,1,1,1,Apartment/Flat,,0.0,0,63m²,,
R 670 000,2,1,,Apartment/Flat,,,0,,,
R 520 000,1,1,,Apartment/Flat,500m²,,0,55m²,,
R 2 450 000,4,2,2,Townhouse,,,0,,,
R 1 200 000,4,1,,House,991m²,,0,,,
R 5 214 000,,,,House,,1.0,0,353m²,,
R 2 200 000,,2,,Apartment/Flat,,0.0,0,200m²,,
R 2 200 000,4,3,,House,,,0,,,
R 5 500 000,3,4,2,House,503m²,1.0,0,,,
R 707 180 - R 751 950,,,,,,,0,,,
R 1 800 000,5,2,5,House,,,0,,,
R 2 800 000,2,2,2,Apartment/Flat,,,0,,,
R 8 500 000,,,,CommercialProperty,,,0,,,
R 550 000,3,1,,Apartment/Flat,,,0,,,
R 1 300 000,7,3,,House,248m²,,0,,,
R 6 000 000,4,4,6,House,,,0,,,
R 13 000 000,,,,CommercialProperty,,,0,,,
R 4 000 000,2,2,1,Apartment/Flat,97m²,,1,,,
R 3 000 000,,,,CommercialProperty,,,0,,,
R 1 100 000,2,1,1,House,,,0,,,
R 530 000,1,1,1,Townhouse,,0.0,0,48m²,,R500
R 550 000,3,1,,Apartment/Flat,,,0,,,
R 370 000,2,1,1,Apartment/Flat,,,0,,,
R 600 000,2,1,1,House,,,0,,,
R 5 214 000,,,,House,,,0,350m²,,
R 660 000,,,,IndustrialProperty,,,0,,,
R 550 000,,,,IndustrialProperty,,,0,,,
R 3 200 000,2,2,2,Apartment/Flat,,,1,130m²,R5333,R2584
R 690 000,2,1,2,Townhouse,,,0,,,
R 2 899 000,,,,CommercialProperty,2475m²,,0,,,
R 2 299 000 - R 2 552 550,,,,,,,0,,,
R 22 000 000,,,,IndustrialProperty,14208m²,,0,,,
R 2 290 000,2,1,,Apartment/Flat,,,0,,,
R 2 599 000,,,,CommercialProperty,1239m²,,0,,,
R 460 000,1,1,,Apartment/Flat,2970m²,,0,52m²,R1020,R325
R 480 000,1,1,1,Apartment/Flat,,0.0,0,79m²,,
R 583 000,2,1,,House,,1.0,0,40m²,,
R 4 299 999,,,,House,,,0,,,
R 9 700 000,,,,CommercialProperty,2487m²,,0,,,
R 860 000,3,2,1,Townhouse,,,0,81m²,,
R 1 900 000,8,8,,Apartment/Flat,495m²,,0,,,
R 5 139 000,4,,1,House,,,0,,,
R 230 000,2,1,1,Apartment/Flat,,,0,,R2278,R183
R 1 300 000,,,,CommercialProperty,,,0,,,
R 2 999 990,,,,CommercialProperty,1150m²,,0,,,
R 195 000,1,1,,Apartment/Flat,,0.0,0,,,
R 695 000,1,1,1,Apartment/Flat,,,0,60m²,,
R 1 249 000,3,1.5,4,House,,0.0,0,,,R1300
R 1 500 000,3,1,2,House,,,0,,,
R 500 000,2,1,2,Apartment/Flat,,,1,87m²,,
R 3 400 000,3,2,2,House,1487m²,,1,260m²,,
R 1 450 000,2,1,,House,,,0,,,
R 320 000,1,1,1,Apartment/Flat,,0.0,0,,,
R 490 000,2,1,1,Apartment/Flat,995m²,,0,26m²,,R625
R 1 165 000,3,2,,House,396m²,,0,,,
R 1 150 000,4,3,1,House,520m²,,1,,,
R 950 000,2,1,,House,434m²,,0,,,
R 1 348 000,3,2.5,1,House,773m²,1.0,1,,,
R 1 745 000,5,3,1,House,726m²,,1,,,
R 850 000,3,2,,House,407m²,,0,,,
R 1 200 000,3,1.5,1,House,564m²,,0,,,
R 1 995 000,3,4,2,House,400m²,1.0,1,,,
R 699 000,3,2,2,House,416m²,,0,,,
R 3 000 000,,,,VacantLand/Plot,966m²,,0,,,
R 280 000,1,,,House,,,0,,,
R 1 440 000,4,3,3,House,,0.0,0,,,
R 595 000,,,,CommercialProperty,,,0,,,
R 2 950 000,4,3,3,House,2571m²,0.0,0,,,
R 280 000,1,1,,Townhouse,,,0,43m²,,
R 600 000,2,1,1,Apartment/Flat,,,0,,,
R 3 250 000,,,,House,,,0,,,
R 665 000,3,2,1,House,,0.0,0,,,
R 15 875 000,,,,CommercialProperty,,,0,,,
R 1 800 000,3,2,,House,2368m²,1.0,0,,,
R 535 000,1,1,,Apartment/Flat,,,0,,R2104,
R 550 000,2,2,1,Townhouse,,,0,,,
R 15 000 000,,,,House,,,0,,,
R 630 000,3,1,1,House,,,0,,,
R 1 400 000,,,,VacantLand/Plot,1000m²,,0,,,R2500
R 350 000,1,1,,Apartment/Flat,43m²,,0,,,
R 570 000,1,1,,House,,,0,55m²,,
R 735 000,3,2,,Apartment/Flat,,,0,,,
R 2 499 900 - R 3 099 900,,,,,,,0,,,
R 27 500 000,,,,CommercialProperty,,,0,,,
R 280 000,2,,,House,,,0,,,
R 4 850 000,5,5,4,House,2264m²,,0,,,
R 250 000,1,1,1,Apartment/Flat,,,0,,,
R 300 000,1,1,,Apartment/Flat,1487m²,,0,51m²,R500,R500
R 4 300 000,,,,House,,,0,,,
R 11 000 000,,,,CommercialProperty,495m²,,0,495m²,,
R 2 899 000,,,,VacantLand/Plot,2670m²,,0,,,R4500
R 2 200 000,,,,CommercialProperty,450m²,,0,,,
R 440 000,1,1,,Apartment/Flat,,,1,,,
R 570 000,3,1,,House,,,0,,,
R 1 425 000,2,2,,Townhouse,,,1,,,
R 1 850 000,,,,VacantLand/Plot,1000m²,,0,,,
R 1 100 000,10,6,1,House,,,0,,,
R 1 100 000,3,2,2,Apartment/Flat,,0.0,0,,,
R 1 750 000,4,3,2,House,1200m²,,0,,,
R 550 000,,,,Townhouse,,,0,,R900,
R 700 000,4,2.5,2,Apartment/Flat,,0.0,0,189m²,R3000,R1200
R 16 000 000,,,,House,,,0,,,
R 559 000,2,1,,House,,,0,40m²,,
R 2 390 000,,,,,,,0,,,
R 16 000 000,,,,CommercialProperty,,,0,,,
R 70 000 000,,,,IndustrialProperty,,,0,,,
R 1 400 000,8,,,House,,,0,,,
R 1 400 000,4,2,1,House,,,0,,,
R 40 000 000,,,,CommercialProperty,,,0,,,
R 1 250 000,8,4,,House,496m²,,0,,,
R 300 000,1,1,,Apartment/Flat,,,0,,,
R 650 000,2,1,2,Apartment/Flat,,0.0,1,89m²,,
R 265 000,2,1,,Apartment/Flat,,,0,,,
R 1 150 000,15,,,House,,,0,,,
R 1 499 000,3,2,4,Apartment/Flat,,0.0,0,,,
R 390 000,2,2,1,Apartment/Flat,,0.0,0,107m²,R1449,R137
R 525 000,1,1,1,Apartment/Flat,,0.0,0,35m²,R2104,R236
R 103 100 000,,,,House,,,0,6572m²,,
R 360 000,1,1,,Apartment/Flat,500m²,,0,24m²,R1900,
R 16 000 000,,,,CommercialProperty,,,0,,,
R 7 200 000,6,5,9,House,20215m²,,0,,,
R 11 000 000,,,,CommercialProperty,,,0,,,
R 20 000 000,,,,CommercialProperty,,,0,,,
R 570 000,,,,Apartment/Flat,,,0,,,
R 4 782 000,,,,,,,0,,,
R 77 000 000,,,,CommercialProperty,,,0,,,
R 580 000,2,,1,Apartment/Flat,,,0,,,
R 362 600,,,,CommercialProperty,74m²,,0,,,
R 1 900 000,3,2,1,House,,,1,,,
R 12 000 000,,,,CommercialProperty,,,0,,,
R 2 138 000,3,2,2,House,,1.0,0,,,
R 1 095 000,2,2,1,Apartment/Flat,,,0,,,
R 1 800 000,,,,VacantLand/Plot,,,0,,,
R 465 000,,1,1,Apartment/Flat,,,0,,R945,R183
R 13 000 000,,,,CommercialProperty,,,0,,,
R 320 000,1,1,1,Apartment/Flat,,0.0,0,69m²,,R200
R 710 000,2,1,,Townhouse,,,0,,,
R 1 530 000,3,1,1,House,,,1,,,
R 650 000,2,1,,House,,,0,,,
R 15 855 000,,,,CommercialProperty,,,0,,,
R 2 950 000,,,,VacantLand/Plot,1013m²,,0,,,
R 460 000,2,1,1,Apartment/Flat,,0.0,0,100m²,R826,R111
R 420 000,1,1,,Apartment/Flat,,,0,,R1461,
R 600 000,2,1,2,Apartment/Flat,,0.0,0,113m²,R2088,R200
R 12 000 000,7,4,10,House,33000m²,,1,,,
R 1 699 900 - R 2 399 900,,,,,,,0,,,
R 900 000,,,,CommercialProperty,,,0,,,
R 1 250 000,3,2,2,Apartment/Flat,,0.0,0,,,
R 495 000,1,1,1,Apartment/Flat,,,0,,,
R 11 999 000,,,,VacantLand/Plot,3965m²,,0,,,
R 1 200 000,8,8,,House,495m²,,0,,,
R 280 000,,,,House,,,0,,,
R 3 500 000,,,,Apartment/Flat,,,0,,,
R 799 000,2,,,Apartment/Flat,,,0,,,
R 480 000,1,1,,Apartment/Flat,,,0,,,
R 1 250 000,,,,House,,,0,,,
R 3 390 000,,,,VacantLand/Plot,,,0,,,
R 1 650 000,2,1,,House,495m²,,0,,,
R 980 000,2,2,2,Apartment/Flat,,,1,,,
R 2 500 000,,,,Apartment/Flat,,,0,,,
R 750 000,3,2,,House,527m²,,0,,,
R 273 000,2,1,1,Apartment/Flat,93m²,,1,,,
R 6 900 000,,,,Apartment/Flat,1246m²,,0,,,
R 599 000 - R 750 000,,,,,,,0,,,
R 3 399 000,,,,VacantLand/Plot,,,0,,,
R 750 000,3,1,,House,,,0,,,
R 575 232,2,1,1,House,316m²,,0,,,
R 2 500 000,,,,VacantLand/Plot,930m²,,0,,,
R 490 000,2,1,1,Apartment/Flat,,0.0,0,111m²,R1220,R205
R 255 000,1,1,,Apartment/Flat,,,0,58m²,R800,R500
R 7 400 000,4,4,1,House,695m²,,0,,,
R 13 000 000,,,,IndustrialProperty,,,0,,,
R 4 800 000,,,,House,,,0,,,
