price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pool,Erf Size,Pets Allowed,parking space
R 1 130 000,1,1,Apartment/Flat,88m²,R1600,R990,0,,,
R 1 295 000,3,1.5,House,180m²,,R700,0,671m²,1.0,
R 1 299 000,5,3,House,,,,1,950m²,,6
R 665 000,3,2,Townhouse,76m²,R100,R160,0,,0.0,1
R 740 000,2,1,Townhouse,68m²,R1479,R452,1,,0.0,1
R 485 000,1,1,Apartment/Flat,64m²,,R1882,0,,,
R 1 900 000,2,1,Townhouse,93m²,R1900,R900,1,,,1
R 1 189 000,3,2,Apartment/Flat,82m²,R1200,R600,1,82m²,1.0,2
R 595 000,1.5,1,Apartment/Flat,78m²,R1300,R403,0,,,2
R 2 799 000,2,2,House,200m²,,R2000,0,496m²,1.0,2
R 1 499 000,2,1,Apartment/Flat,78m²,R2116,R788,0,,0.0,
R 665 000,2,1,Apartment/Flat,51m²,R1200,R250,0,51m²,,1
R 1 195 000,3,2,Townhouse,,R1352,R551,0,,0.0,3
R 750 000,2,2,Apartment/Flat,99m²,R2000,,0,,1.0,1
R 7 200 000,,,Farm,,,R3000,1,,1.0,
R 1 300 000,4,2,House,,,,0,,1.0,2
R 949 000,3,2.5,Townhouse,154m²,R1064,R700,1,,1.0,1
R 839 000,2,1,Apartment/Flat,56m²,R1300,R300,0,,,1
POA,,,CommercialProperty,,,,0,1700m²,,
R 4 770 000,,,,,,,0,,,
R 695 000,3,2,Townhouse,57m²,R700,R384,0,,0.0,1
R 1 350 000,3,2,Townhouse,,R1590,,1,93m²,,
R 250 000,1,1,Apartment/Flat,35m²,R600,R300,0,,0.0,
R 1 130 000,1,1,Apartment/Flat,88m²,R1600,R990,0,,,
R 1 130 000,1,1,Apartment/Flat,88m²,R1600,R990,0,,,
R 1 295 000,3,1.5,House,180m²,,R700,0,671m²,1.0,
R 1 299 000,5,3,House,,,,1,950m²,,6
R 665 000,3,2,Townhouse,76m²,R100,R160,0,,0.0,1
R 740 000,2,1,Townhouse,68m²,R1479,R452,1,,0.0,1
R 485 000,1,1,Apartment/Flat,64m²,,R1882,0,,,
R 1 900 000,2,1,Townhouse,93m²,R1900,R900,1,,,1
R 1 189 000,3,2,Apartment/Flat,82m²,R1200,R600,1,82m²,1.0,2
R 595 000,1.5,1,Apartment/Flat,78m²,R1300,R403,0,,,2
R 2 799 000,2,2,House,200m²,,R2000,0,496m²,1.0,2
R 1 499 000,2,1,Apartment/Flat,78m²,R2116,R788,0,,0.0,
R 665 000,2,1,Apartment/Flat,51m²,R1200,R250,0,51m²,,1
R 1 195 000,3,2,Townhouse,,R1352,R551,0,,0.0,3
R 750 000,2,2,Apartment/Flat,99m²,R2000,,0,,1.0,1
R 7 200 000,,,Farm,,,R3000,1,,1.0,
R 1 300 000,4,2,House,,,,0,,1.0,2
