price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Pool,Erf Size,Rates and Taxes,Pets Allowed,Levies
R 450 000,2,1,1,Apartment/Flat,46m²,0,,,,
R 9 850 000,5,4.5,3,House,592m²,1,1933m²,R4615,1.0,
R 570 000,3,1,,Apartment/Flat,,0,,,,
R 950 000,8,3,10,House,,0,,,1.0,
R 2 900 000,,2,4,House,500m²,1,1297m²,R1574,1.0,
R 3 880 000,4,2.5,2,House,350m²,0,1086m²,R1565,1.0,
R 1 400 000,3,1,1,House,,0,,,,
R 2 000 000,5,2,6,House,,0,496m²,,,
R 1 650 000,2,2,1,Apartment/Flat,82m²,0,,R1330,1.0,R2008
R 270 000,1,1,1,House,,0,,,,
R 999 000,3,2,,House,99m²,0,,,,
R 350 000,,,,House,,0,495m²,,,
R 6 350 000,4,4.5,6,House,,1,2701m²,,1.0,
R 1 295 000,3,2,3,Apartment/Flat,119m²,0,119m²,R850,0.0,R1600
R 1 249 000,3,3,5,House,,1,600m²,R420,,
R 690 000,3,1,6,House,,0,495m²,,,
R 1 580 000,4,2.5,6,House,,0,495m²,R660,1.0,
R 1 200 000,2,2,2,Apartment/Flat,106m²,0,106m²,R459,0.0,
R 830 000,2,1,2,Apartment/Flat,70m²,1,70m²,R459,0.0,
R 4 782 000,,,,,,0,,,,
R 750 000,3,1,2,House,,0,,,,
R 3 695 000,5,3.5,2,House,1988m²,1,1988m²,R1700,1.0,
R 6 250 000,4,4,3,House,2913m²,1,2913m²,R2913,1.0,
R 3 350 000,4,2.5,4,House,1360m²,1,1360m²,R1450,1.0,
R 698 000,2,2,1,Apartment/Flat,100m²,0,,R410,0.0,R1800
R 12 000 000,,,,IndustrialProperty,2600m²,0,3500m²,,,
R 800 000,1,1,2,Apartment/Flat,77m²,1,54122m²,R524,0.0,R2080
R 890 000,1,1,1,Apartment/Flat,88m²,0,5758m²,,,R3190
R 840 000,3,2,3,House,170m²,0,370m²,R253,1.0,
R 1 170 000,3,1,2,House,,0,,R1,1.0,
R 1 490 000,3,1,1,House,220m²,0,546m²,R650,1.0,
R 4 299 000,3,3,2,House,,0,640m²,,,R2300
R 1 995 000,3,2,2,Apartment/Flat,194m²,0,,R761,0.0,R4841
R 1 325 000,3,2,2,Apartment/Flat,,0,,R850,,R2000
R 2 400 000,5,2,,House,,0,2670m²,,,
R 2 950 000,,,,CommercialProperty,900m²,0,900m²,,,
R 639 000,1,1,1,Townhouse,,1,,,0.0,R1394
R 3 950 000,4,4.5,3,Apartment/Flat,167m²,1,,R2366,,
R 2 199 000,3,2,2,House,200m²,1,450m²,R690,1.0,
R 365 000,1,1,,Apartment/Flat,24m²,0,500m²,,0.0,
R 2 700 000 - R 5 400 000,,,,,,0,,,,
R 9 900 000,5,5,2,House,,1,,,,
R 1 375 000,3,2,2,Apartment/Flat,147m²,0,,R414,,R5535
R 880 000,3,2,4,House,,0,410m²,R1000,0.0,
R 600 000,2,2,2,Apartment/Flat,,0,,,,
R 1 500 000,2,2,1,Townhouse,,1,,,,
R 680 000,2,1,,Townhouse,55m²,0,,R903,,R780
R 3 150 000,2,2,4,House,,1,498m²,,,
R 4 250 000,4,3,4,House,,1,1800m²,,,R1000
R 1 000 000,2,2,,Apartment/Flat,80m²,0,983m²,R600,0.0,R3450
R 500 000,1,1,,Apartment/Flat,32m²,1,6354m²,R230,0.0,R947
R 324 900,2,1,1,Apartment/Flat,65m²,0,,R10,,R1076
R 4 990 000,7,7,4,House,489m²,1,2945m²,R1043,,
R 1 700 000,3,2,,House,,0,,,,
R 630 000,1,1,2,Apartment/Flat,45m²,1,45m²,R460,0.0,
R 2 700 000,2,2,1,Apartment/Flat,205m²,1,,R1661,,R8501
R 1 850 000,4,2,2,House,170m²,1,1600m²,R1050,,
R 4 770 000,,,,,,0,,,,
R 28 000 000,,,,CommercialProperty,,0,,,,
R 650 000,1,1,1,Apartment/Flat,82m²,0,,R842,0.0,R2693
R 2 350 000,2,1,2,House,,1,495m²,,,
R 1 600 000,2,1,2,House,,1,2025m²,,,
R 700 000,2,1,2,Apartment/Flat,,0,,R435,,R552
R 1 620 000,2,2,2,Apartment/Flat,84m²,0,,,1.0,R1026
R 1 150 000,9,3,1,House,,0,,,,
R 2 149 000,3,2,3,House,700m²,1,1550m²,R700,,
R 595 000,0.5,1,1,Apartment/Flat,39m²,0,,R146,0.0,R1150
R 2 295 000,2,2,2,Apartment/Flat,90m²,1,,R1330,0.0,R4550
R 750 000,2,2,1,Apartment/Flat,72m²,1,,R380,,R1900
R 1 670 000,6,2,2,House,,0,991m²,,,
R 695 000,3,2,2,Apartment/Flat,100m²,1,,,,R2230
R 1 650 000,3,2,2,House,,1,744m²,R1200,1.0,
R 750 000,2,2,1,Apartment/Flat,72m²,1,,R380,,R1900
R 1 100 000,3,3,,House,,0,,,,
R 2 600 000,3,2,9,House,,0,1700m²,,,
R 1 400 000,4,2,6,House,257m²,1,495m²,R700,1.0,
R 2 950 000,3,1,3,House,,0,495m²,R2600,1.0,
R 2 475 000 - R 2 499 000,,,,,,0,,,,
R 600 000,2,1,,Apartment/Flat,,0,,,,R1500
R 2 395 000,4,3,6,House,1567m²,1,1570m²,R1580,1.0,
R 670 000,1,1,1,Apartment/Flat,75m²,0,,,0.0,R1800
R 960 000,3,2,2,House,84m²,0,,,,
R 2 650 000,3,2,2,House,,1,497m²,,,
R 10 000 000,,,,CommercialProperty,,0,,,,
R 2 800 000,6,4,5,House,990m²,0,990m²,R1243,,
R 55 000 000,,,,CommercialProperty,13104m²,0,13104m²,,,
R 700 000,3,1,1,Apartment/Flat,,0,,,,R1000
R 2 399 000,5,4,4,House,,1,1296m²,R1500,,
R 700 000,2,1,1,Apartment/Flat,46m²,1,,,,
R 1 650 000,3,2,3,House,,1,991m²,R2200,1.0,
R 2 810 000,1,1,1,Apartment/Flat,44m²,0,,R1000,,R1944
R 499 000,,,,VacantLand/Plot,,0,,,,
R 1 100 000,3,2.5,2,House,,0,509m²,R780,,
R 1 150 000,1,1,2,Apartment/Flat,56m²,0,,R701,0.0,R2168
R 1 549 500,2,1,1,Townhouse,100m²,1,,R1006,0.0,R2073
R 850 000,2,2,2,Apartment/Flat,,0,,,,
R 649 000,,,,,,0,,,,
R 715 000,3,1,1,House,,0,496m²,R560,,
R 1 650 000,5,4,10,House,,0,714m²,R433,1.0,
R 1 705 000,2,1.5,2,Apartment/Flat,113m²,0,6838m²,R1009,1.0,R3950
R 2 199 000,8,4,1,House,,0,595m²,,,
R 750 000,3,,2,House,140m²,0,300m²,R625,1.0,
R 1 290 000,3,2,2,Townhouse,223m²,1,,R514,1.0,R2500
R 1 279 000,4,3,1,House,,1,,R560,,
R 2 999 000,2,2,2,Apartment/Flat,143m²,0,,R1685,,R4084
R 660 000,1,1,2,Apartment/Flat,,1,,,,
R 610 000,3,2,,House,,0,437m²,,,
R 4 250 000,3,4,3,House,,1,1122m²,R3660,,
R 1 600 000,2,2,2,Apartment/Flat,91m²,0,,R1296,0.0,R3543
R 559 000,3,2,1,Townhouse,100m²,0,,R300,,R600
R 479 000,2,1,,Apartment/Flat,66m²,0,6339m²,,,
R 1 950 000,3,2,1,House,,0,495m²,,1.0,
R 13 000 000,,,,IndustrialProperty,5326m²,0,5326m²,,,
R 1 245 000,2,1,1,Townhouse,78m²,1,2770m²,R1050,,R2341
R 3 355 000 - R 3 730 000,,,,,,0,,,,
R 300 000,3,1,,House,,0,248m²,,0.0,
R 3 750 000,,,,IndustrialProperty,1085m²,0,3000m²,,,
R 3 750 000,6,4.5,3,House,507m²,1,7860m²,R1060,1.0,
R 1 550 000,3,3,1,Apartment/Flat,160m²,1,160m²,R1500,1.0,R5000
R 1 679 000,7,4,6,House,250m²,0,506m²,R450,1.0,
R 1 295 000,3,2,1,House,,0,740m²,R980,0.0,
R 42 000 000,,,,IndustrialProperty,,0,,,,
R 1 400 000,,,,IndustrialProperty,500m²,0,550m²,,,
R 745 000,3,1.5,,Townhouse,62m²,0,16732m²,R450,,R950
R 780 000,1,1,,Townhouse,51m²,0,10390m²,R300,,R1200
R 1 450 000,2,2,1,Apartment/Flat,77m²,1,,,0.0,
R 950 000,3,2,5,House,,0,250m²,R400,1.0,
R 360 000,0.5,1,,Apartment/Flat,39m²,0,,R400,,R1200
R 2 000 000,4,4,2,Townhouse,332m²,0,332m²,R1200,1.0,R4037
R 1 650 000,3,2,,Townhouse,99m²,1,,,1.0,
R 2 195 000,3,2,12,House,,0,1041m²,,1.0,
R 1 149 000 - R 1 219 000,,,,,,0,,,,
R 2 295 000,5,4,3,House,,0,922m²,R1600,,
R 2 100 000,,,,CommercialProperty,139m²,0,139m²,,,R11000
R 810 000,3,2,6,House,173m²,0,458m²,R752,1.0,R1706
R 700 000,2,2,1,House,96m²,1,,R480,,R1300
R 820 000,,1,1,House,,0,495m²,,,
R 2 300 000,2,2,2,Apartment/Flat,70m²,0,,R1742,,R3571
R 990 000,3,2,,House,,0,828m²,R1400,,
R 7 990 000,4,4.5,5,House,,1,802m²,,1.0,
R 3 180 000,8,4,,House,99m²,0,1281m²,,,
R 995 000,2,2,,Townhouse,,1,,,,
R 1 195 000,4,3,12,House,,0,1060m²,R500,,
R 3 000 000,,,,CommercialProperty,,0,743m²,,1.0,R1632
R 1 250 000,2,2,2,Apartment/Flat,,0,,,0.0,R2420
R 950 000,3,1,3,House,,0,389m²,,,
R 2 000 000,1,1,,Apartment/Flat,47m²,0,47m²,R1200,,R2200
R 599 000,2,1,1,House,,0,,,0.0,
R 450 000,3,1,1,Apartment/Flat,83m²,0,,,,
R 1 750 000,2,2.5,,Apartment/Flat,122m²,0,,R1168,0.0,R2180
R 629 000,,,,,,0,,,,
R 4 599 000,5,5,4,House,,1,1020m²,,1.0,
R 2 150 000,3,2,2,House,,0,562m²,,0.0,
R 1 899 000,4,2,2,House,,0,1338m²,,,
R 699 000,2,1,,House,,0,495m²,R650,0.0,
R 15 750 000,3,3,3,Townhouse,492m²,1,940m²,R6000,1.0,R11000
R 2 399 000,,,,House,1006m²,0,1007m²,,,
R 590 000,,,,VacantLand/Plot,,0,,,,
R 1 350 000,4,1,7,House,,0,654m²,,1.0,
R 3 150 000,6,5,,House,,0,583m²,,,
R 1 199 000,3,2,2,Townhouse,98m²,0,10880m²,R550,0.0,R1500
R 1 699 000,3,2,4,Townhouse,141m²,0,,R1350,1.0,R1550
R 9 450 000,5,6,4,House,700m²,1,1250m²,R6200,1.0,
