price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size
R 1 645 000,2,2,1,Apartment/Flat,82m²,R1583,R924,0.0,0,
R 850 000,2,1,1,Townhouse,125m²,R823,,0.0,1,
R 685 000,,,,IndustrialProperty,176m²,R1800,R1600,,0,176m²
R 595 000,3,1,2,House,,R545,,,0,350m²
R 2 250 000,3,2,2,House,210m²,,R1259,1.0,1,1983m²
R 2 500 000,4,2.5,6,House,,,,,1,2003m²
R 1 195 000,4,2,2,House,,,R591,,0,748m²
R 2 750 000,3,2,2,Townhouse,182m²,,,1.0,0,
R 555 000,3,1,1,House,,,,1.0,0,472m²
R 598 000,2,1,1,Apartment/Flat,69m²,R780,R373,0.0,1,17161m²
R 13 500 000,4,5.5,6,House,900m²,,R5634,1.0,1,2974m²
R 675 000,2,1,1,Townhouse,,R1700,R600,,0,
R 1 300 000,3,2,1,House,,,R400,,0,
R 4 900 000,5,5,2,House,390m²,,R3250,,0,1983m²
R 750 000,3,2,,House,,,R400,1.0,0,252m²
R 520 000,3,1,,Apartment/Flat,77m²,R1335,R180,1.0,0,
R 599 000 - R 750 000,,,,,,,,,0,
R 950 000,2,1,2,Townhouse,65m²,R989,R181,1.0,0,65m²
R 4 950 000,,,,IndustrialProperty,1100m²,,,,0,1100m²
R 12 276 000,,,,CommercialProperty,426m²,,,,0,426m²
R 825 000,2,2,2,Townhouse,97m²,,,1.0,1,
R 820 000,3,1,1,House,203m²,,,,0,203m²
R 1 425 000,5,5,5,House,,,,,1,
R 5 300 000,4,5,4,House,550m²,,R2483,,0,1729m²
R 550 000,2,1.5,,Townhouse,43m²,R1200,R282,0.0,0,5802m²
R 2 290 000,3,2.5,2,Apartment/Flat,237m²,R3900,R1700,1.0,1,4582m²
R 1 095 000,2,1,1,Apartment/Flat,72m²,R1977,R2000,1.0,1,72m²
R 1 095 000,2,1,,Apartment/Flat,,R1977,R2000,1.0,1,
R 1 850 000,2,2,2,Apartment/Flat,94m²,,,1.0,1,
R 2 950 000,3,2.5,3,House,229m²,,R3393,1.0,0,1335m²
R 999 999,4,3,4,House,,,R565,,0,450m²
R 999 000,2,2,2,House,225m²,,R550,,0,495m²
R 12 500 000,,,,IndustrialProperty,5000m²,,,,0,5000m²
R 980 000,2,2,2,Apartment/Flat,,,R776,,0,95m²
R 3 500 000,2,2,2,House,1m²,,R1533,1.0,1,495m²
R 530 000,1,1,,Townhouse,49m²,R748,R420,0.0,1,
R 539 000,,,,,,,,,0,
R 850 000,4,2,2,House,,,R645,1.0,0,300m²
R 1 900 000,3,2,1,Apartment/Flat,145m²,,,0.0,0,
R 1 050 000,2,2,1,Apartment/Flat,116m²,,R1097,0.0,0,
R 699 000,2,1,,Apartment/Flat,106m²,R1500,R350,,0,
R 1 700 000,3,2,2,House,,,,,1,495m²
R 550 000,1,1,,Apartment/Flat,41m²,,,0.0,0,
R 699 000,2,1,,Apartment/Flat,60m²,R545,R430,0.0,0,
R 11 000 000,25,25,30,House,,,R3800,,1,2600m²
R 2 198 000,3,2,4,Townhouse,204m²,,,,1,
R 410 000,3,1,1,Apartment/Flat,,,,,0,
R 1 100 000,3,2,2,House,,,,,0,364m²
R 1 275 000,3,2,2,House,,,R1200,1.0,0,422m²
R 1 199 000,3,1,1,House,,,R449,,0,632m²
R 300 000,2,1,,Apartment/Flat,,,,0.0,0,
R 3 395 000,3,2,3,House,1m²,,R1900,1.0,1,495m²
R 2 250 000,12,10,,House,,,,,0,497m²
R 590 000,2,2,2,Apartment/Flat,110m²,R3051,R2049,,0,
R 2 099 000,5,4,2,House,,,R900,,0,992m²
R 1 100 000,4,2,2,House,495m²,,R1200,,0,495m²
R 629 000,,,,,,,,,0,
R 2 950 000,4,3,4,House,,,R4099,,1,1312m²
R 593 000,3,1,2,Townhouse,70m²,R1476,R361,0.0,1,70m²
R 176 000,,1,,Apartment/Flat,39m²,,,0.0,0,1487m²
R 790 000,2,2,1,Townhouse,96m²,R1035,,0.0,0,
R 1 100 000,2,1,1,House,,,,,0,495m²
R 650 000,2,1,1,Townhouse,50m²,R1649,R324,0.0,1,
R 1 450 000,4,3,4,House,200m²,,R882,1.0,0,497ha
R 569 000,2,1,1,Townhouse,57m²,,,,1,
R 4 999 000,,,,CommercialProperty,,,,,0,2184m²
R 749 000,1,1,2,Townhouse,59m²,R1397,R232,0.0,1,1m²
R 999 000,2,1,1,Apartment/Flat,70m²,R30000,,,0,1591m²
R 690 000,2,1,,Townhouse,71m²,R1195,R174,,1,
R 1 895 000,3,2.5,3,House,,,,,1,
R 650 000,3,2.5,1,Townhouse,161m²,R1059,,0.0,1,
R 1 095 000,3,2,2,Apartment/Flat,88m²,R1943,R492,,0,
R 4 750 000,3,3.5,2,House,459m²,,R2800,1.0,1,1119m²
