price,bedrooms,bathrooms,parking space,Type of Property,Rates and Taxes,Pool,Erf Size,Pets Allowed,Floor Size,Levies
R 1 299 000,4,2,3,Apartment/Flat,R700,1,,,,
R 3 400 000,3,2,2,House,,0,495m²,1.0,,
R 1 075 000,,,,IndustrialProperty,,0,500m²,,400m²,
R 1 900 000,2,2,2,Apartment/Flat,R393,0,,0.0,86m²,R2161
R 2 395 000,2,2,2,Apartment/Flat,R1700,0,,,112m²,R4000
R 1 149 000,3,2,2,Townhouse,,0,,0.0,111m²,R1655
R 799 999,,,,VacantLand/Plot,,0,,,,
R 1 100 000,13,3,,House,,0,,,,
R 1 550 000,3,1,2,House,R594,1,1115m²,1.0,350m²,
R 1 350 000,4,3,10,House,R1000,0,,,,
R 5 600 000,,,,IndustrialProperty,,0,3664m²,,2240m²,
R 1 900 000,3,3,2,House,R1345,0,,0.0,113m²,R4579
R 850 000,1,1,1,Apartment/Flat,R443,0,,1.0,58m²,R2025
R 569 000,2,1,1,Apartment/Flat,,1,,,,
R 6 969 000,3,3,2,Apartment/Flat,R5188,1,,,204m²,R3665
R 2 299 000,3,3,,Apartment/Flat,,1,5121m²,,208m²,R6383
R 755 000,2,1,1,Apartment/Flat,R250,0,,,,R1134
R 539 000,,,,,,0,,,,
R 680 000,2,1,,Townhouse,R377,1,9143m²,,65m²,R940
R 2 100 000,2,1,2,Townhouse,R1478,0,,1.0,103m²,R2694
R 6 500 000,4,6,3,House,R5260,0,656m²,1.0,,R1928
R 5 500 000,,,,IndustrialProperty,,0,3966m²,,403m²,
R 430 000,1,1,,Apartment/Flat,R930,0,,0.0,39m²,
R 1 990 000,3,2,1,House,,0,1798m²,,,
R 2 350 000,,,,IndustrialProperty,,0,925m²,,700m²,
R 1 200 000,4,2,2,Townhouse,R690,1,,,163m²,R2530
R 1 150 000,3,1,1,House,R556,1,669m²,1.0,,
R 1 250 000,1,1,1,Apartment/Flat,R1100,1,9596m²,1.0,109m²,R3700
R 799 000,2,1,,Apartment/Flat,R450,1,,,70m²,R2352
R 500 000,2,1,10,House,R246,0,525m²,1.0,77m²,
R 2 299 000 - R 2 552 550,,,,,,0,,,,
R 380 000,1,1,,Apartment/Flat,,0,1041m²,,26m²,
R 665 000,2,1,1,Apartment/Flat,R250,0,,,,R1134
