price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size,parking space
R 440 000,1,1,Apartment/Flat,43m²,R1941,R215,0.0,0,,
R 849 000,5,3.5,House,,,R538,,0,618m²,
R 4 950 000,,,IndustrialProperty,1765m²,,,,0,4000m²,
R 2 499 000,3,3,House,,,,,1,,3
R 1 300 000,6,3,House,,,,,0,495m²,1
R 15 900 000,,,CommercialProperty,85m²,,R33026,,0,3114ha,
R 750 000,,,IndustrialProperty,,,,,0,,
R 230 000,1,1.5,Apartment/Flat,67m²,R1420,,0.0,0,,1
R 700 000,2,1,House,,,,,0,372m²,
R 950 000,1,1,Apartment/Flat,133m²,,R2000,0.0,0,983m²,1
R 2 100 000,3,1,House,,,,0.0,0,,1
R 18 499 000,4,4,Apartment/Flat,412m²,,,,1,,2
R 1 099 999,1,1,Apartment/Flat,82m²,R3064,R905,,0,,
R 2 850 000,3,2.5,House,,,,,0,497m²,4
R 965 000,5,1,Apartment/Flat,93m²,R2243,,,1,2000m²,
R 195 000,1,1,Apartment/Flat,67m²,R1477,,0.0,0,,1
R 2 399 000,5,3,House,396m²,,R400,1.0,0,496m²,4
R 2 700 000 - R 5 400 000,,,,,,,,0,,
R 750 000,3,1,Apartment/Flat,66m²,,,,0,,2
R 780 000,2,2,Townhouse,103m²,R2000,R376,,1,,2
R 1 499 000,3,2,Apartment/Flat,182m²,,,1.0,0,,1
R 1 425 000,3,2,Apartment/Flat,98m²,R3211,,1.0,0,1981m²,2
R 690 000,2,1,Apartment/Flat,50m²,R2300,R814,0.0,0,,1
R 2 600 000,3,2,House,1m²,,R1416,1.0,0,496m²,3
R 15 550 000,,,CommercialProperty,7000m²,,,,0,,
R 1 100 000,3,1.5,House,495m²,,R545,,0,495m²,1
R 418 000,3,1,Apartment/Flat,,R1250,R162,,0,80m²,1
R 400 000,1,1,Apartment/Flat,41m²,,,0.0,0,,1
R 800 000,2,1,House,,,,,0,536m²,
R 650 000,3,1,Townhouse,57m²,,,0.0,0,,
R 1 199 000,3,2,House,190m²,,R400,1.0,0,380m²,4
R 550 000,,,House,,,,,0,,
R 580 000,2,1,Townhouse,44m²,R1275,R289,1.0,1,,1
R 1 750 000,4,2,House,,,R645,1.0,0,822m²,2
R 7 900 000,5,3,House,,,R2116,,0,3807m²,2
R 1 250 000,3,2,House,,,,,0,,2
R 629 000,,,,,,,,0,,
R 699 000,1,1,Apartment/Flat,,,,0.0,0,,
R 1 180 000,3,2,Townhouse,10398m²,,R952,0.0,0,10398m²,2
R 1 299 000,3,2,Apartment/Flat,159m²,R2845,R1369,0.0,0,,
R 2 699 000,3,2,House,,,R1550,1.0,0,1006m²,2
R 899 000,2,2,Townhouse,104m²,R1992,R550,,0,,1
R 2 700 000,,,IndustrialProperty,795m²,,,,0,795m²,
R 485 000,,,VacantLand/Plot,,,R203,,0,1404m²,
R 12 950 000,4,4.5,House,2712m²,R13900,R3000,1.0,0,,3
R 650 000,3,1,House,,,,,0,,2
R 550 000,1,1,Apartment/Flat,50m²,R1800,R1000,,1,,
R 1 579 900,3,2,House,,,,1.0,0,737m²,4
R 1 500 000,,,CommercialProperty,,,,,0,495m²,
R 1 750 000,2,2,Apartment/Flat,129m²,R3500,R550,1.0,0,,1
R 550 000,3,1,House,,,R171,1.0,0,176m²,2
R 2 800 000,3,2,House,,,R1100,,0,,6
R 555 000,1.5,1,Apartment/Flat,75m²,R1540,R250,,0,,1
R 1 399 000,3,2,Apartment/Flat,,R1300,R650,,1,106m²,2
R 780 000,2,1,Apartment/Flat,,,,,0,,2
R 1 250 000,4,2,House,300m²,,R350,1.0,0,1000m²,7
R 2 299 000 - R 2 552 550,,,,,,,,0,,
R 1 100 000,3,3,Townhouse,166m²,R2400,R721,1.0,0,4696m²,4
