price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Pool,Rates and Taxes,parking space,Pets Allowed
R 3 364 900,2.0,2.0,Apartment/Flat,83m²,83m²,R2000,0,,,
R 755 000,2.0,1.0,Apartment/Flat,,,R600,0,R680,,
R 3 995 000,9.0,9.0,House,1575m²,1060m²,,0,R2500,17.0,1.0
R 4 950 000,4.0,3.0,House,679m²,329m²,,0,R3056,6.0,1.0
R 2 095 000,4.0,2.0,House,990m²,452m²,,0,R800,4.0,1.0
POA,,,CommercialProperty,992m²,2207m²,,0,R9265,,
R 1 785 000,3.0,2.0,House,,,R850,0,R1000,2.0,
R 399 710,1.0,1.0,Apartment/Flat,20m²,20m²,R1288,0,R529,,0.0
R 2 150 000,3.0,2.0,Apartment/Flat,,,,0,R1000,1.0,
R 1 495 000,4.0,2.0,House,,,,0,R520,1.0,
R 799 000,3.0,3.0,House,471m²,471m²,,0,R450,2.0,1.0
R 995 000,3.0,1.5,House,,,,0,R1914,2.0,1.0
R 950 000,2.0,1.0,Townhouse,,70m²,R1650,0,R640,1.0,0.0
R 537 600,2.0,1.0,House,671m²,,,0,R230,1.0,
R 1 250 000,4.0,2.5,House,495m²,,,0,R600,1.0,
R 5 499 000,3.0,2.0,Townhouse,398m²,112m²,R4600,0,R2999,5.0,1.0
R 849 000,3.0,2.0,House,467m²,300m²,,0,,3.0,
R 1 125 345,4.0,2.5,House,300m²,104m²,,0,R300,1.0,1.0
R 1 600 000,2.0,1.0,Apartment/Flat,2535m²,96m²,R960,0,,1.0,
R 900 000,3.0,1.0,House,365m²,,,0,,2.0,
R 850 000,3.0,1.0,House,,,,0,,,
R 707 180 - R 751 950,,,,,,,0,,,
R 2 795 000,3.0,5.0,House,400m²,,R735,0,R1200,2.0,
R 1 350 000,3.0,1.0,Townhouse,,130m²,,0,,,
R 1 900 000,5.0,3.0,House,960m²,350m²,,0,,8.0,
R 1 850 000,,,CommercialProperty,,,R5571,0,,,
R 4 550 000,4.0,3.0,House,957m²,310m²,,0,,4.0,1.0
R 836 770,2.0,1.0,House,200m²,50m²,,0,R300,1.0,1.0
R 1 300 000,4.0,2.0,House,,,,0,,2.0,1.0
R 8 000 000,4.0,4.0,House,894m²,550m²,,0,,3.0,1.0
R 839 000,2.0,,Apartment/Flat,,56m²,,0,,,
R 500 000,2.0,1.0,Townhouse,,125m²,R850,0,,1.0,
R 650 000,3.0,2.0,House,253m²,,,0,,,0.0
R 1 250 000,3.0,1.0,House,495m²,,,0,R960,3.0,1.0
R 1 799 000,3.0,2.0,House,2091m²,250m²,,0,,,1.0
R 395 000,1.0,1.0,Apartment/Flat,39m²,39m²,,0,R930,1.0,0.0
R 1 550 000,5.0,2.0,House,991m²,,,0,,3.0,
R 1 050 000,,,House,,,,0,,,
R 850 000,2.0,1.0,Apartment/Flat,,,,0,,1.0,0.0
R 3 200 000,5.0,4.0,House,918m²,,,0,,2.0,
POA,,,CommercialProperty,,,,0,,,
R 269 900,,1.0,Apartment/Flat,,24m²,R1279,0,,1.0,
R 4 799 000,3.0,2.0,Townhouse,,465m²,,0,,,
R 2 475 000 - R 2 499 000,,,,,,,0,,,
R 755 000,2.0,1.0,Apartment/Flat,,,R600,0,R680,,
R 1 200 000,3.0,1.0,House,479m²,280m²,,0,R600,4.0,1.0
R 1 595 000,2.0,1.0,Apartment/Flat,5533m²,91m²,R2600,0,,3.0,1.0
R 1 650 000,,,IndustrialProperty,480m²,480m²,,0,,,
R 3 750 000,3.0,2.0,House,1119m²,370m²,,0,,2.0,1.0
R 985 000,3.0,2.0,House,377m²,,,0,,1.0,1.0
R 2 000 000,4.0,2.0,House,,,,0,,2.0,
R 3 199 000,4.0,5.0,House,588m²,,,0,,2.0,
R 1 300 000,4.0,4.0,House,496m²,,,0,,5.0,
R 1 850 000,4.0,2.0,House,603m²,,,0,,1.0,1.0
R 1 300 000,3.0,2.0,House,495m²,,,0,,,
R 675 000,1.0,1.0,Townhouse,12447m²,50m²,R780,0,R1921,1.0,0.0
R 2 400 000,3.0,2.5,House,991m²,350m²,,0,R1270,3.0,1.0
R 900 000,3.0,2.0,House,1022m²,,,0,,2.0,
R 839 000,2.0,1.0,Apartment/Flat,,,R824,0,R200,3.0,
R 900 000,1.0,1.0,Apartment/Flat,,51m²,R2298,0,R363,1.0,0.0
R 1 200 000,2.0,1.0,House,496m²,196m²,,0,R733,1.0,1.0
R 3 295 000,4.0,3.0,House,,,,0,,2.0,
R 1 780 000,1.0,1.0,Apartment/Flat,,,,0,,1.0,
R 1 980 000,4.0,2.0,House,996m²,,,0,R1174,,1.0
R 180 000,2.0,1.0,House,,,,0,,,
R 4 300 000 - R 4 600 000,,,,,,,0,,,
R 450 000,1.0,1.0,Apartment/Flat,655m²,33m²,,0,R800,1.0,
R 699 999,3.0,2.0,Townhouse,,93m²,R1400,0,R300,2.0,
R 780 000,2.0,1.0,House,,,R2300,0,,1.0,
R 1 350 000,1.0,1.0,House,4196m²,80m²,R1233,0,R194,,
R 645 900,2.0,1.0,House,150m²,40m²,,0,R300,1.0,1.0
R 2 500 000,3.0,2.0,House,495m²,,,0,R1400,2.0,
R 1 000 000,3.0,2.0,House,112m²,112m²,R1000,0,R400,2.0,
POA,5.0,4.0,House,1534m²,,,0,,,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R600,0,R500,1.0,0.0
R 10 500 000,,,CommercialProperty,,,,0,,,
R 3 795 000,7.0,7.0,House,1258m²,,,0,R1600,4.0,
R 635 000,2.0,1.0,Apartment/Flat,,,R1000,0,,,
R 1 750 000,3.0,2.0,House,,,,0,,2.0,
POA,2.0,2.0,Apartment/Flat,,102m²,R2297,0,R180,1.0,
R 500 000,1.0,1.0,Apartment/Flat,,35m²,R2530,0,,1.0,0.0
R 4 000 000,,,IndustrialProperty,2069m²,1000m²,,0,,,
R 1 495 000,5.0,2.0,House,812m²,230m²,,0,R1100,3.0,0.0
R 1 100 000,3.0,1.0,House,571m²,,,0,R362,4.0,
R 3 250 000,3.0,2.0,House,496m²,,,0,,2.0,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R1250,0,R250,1.0,
R 4 770 000,,,,,,,0,,,
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R1250,0,R250,1.0,
R 699 000,3.0,2.0,Apartment/Flat,6061m²,57m²,R1300,0,R406,2.0,0.0
R 1 750 000,4.0,3.0,House,1017m²,450m²,,0,R750,3.0,
R 1 800 000,4.0,2.0,House,993m²,,,0,R1054,2.0,1.0
R 795 000,2.0,1.5,Apartment/Flat,,110m²,R2000,0,R600,,
R 1 900 900,1.0,2.0,Apartment/Flat,3000m²,112m²,,0,,1.0,1.0
R 8 950 000,5.0,4.0,House,698m²,479m²,,0,R4400,4.0,1.0
R 4 995 000,3.0,2.0,House,1107m²,,,0,R3087,10.0,
R 1 650 000,5.0,3.0,House,2023m²,500m²,,0,R990,11.0,1.0
R 4 995 000,2.0,2.0,House,1239m²,1m²,,0,R3050,5.0,1.0
R 6 995 000,3.0,2.0,House,,460m²,,0,R3574,3.0,1.0
R 4 850 000,3.0,3.0,House,1313m²,1m²,,0,R2800,3.0,1.0
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,0.0
R 500 000,2.0,1.0,House,300m²,50m²,,0,R500,2.0,1.0
R 2 500 000 - R 4 300 000,,,,,,,0,,,
R 1 275 000,1.0,1.0,Apartment/Flat,,,R1360,0,R634,1.0,
R 1 025 000,1.0,1.0,Apartment/Flat,,,R1040,0,R463,1.0,
R 4 090 000,3.0,3.0,Apartment/Flat,,,,0,,3.0,
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 1 290 000,1.0,1.0,Apartment/Flat,,,,0,,1.0,
R 895 000,1.0,1.0,Apartment/Flat,,,R920,0,R374,1.0,
R 1 250 000,3.0,2.0,House,495m²,,,0,R911,3.0,1.0
R 9 500 000,,,IndustrialProperty,,1100m²,R9500000,0,,,
R 985 000,2.0,2.0,Apartment/Flat,,86m²,R1367,0,R785,1.0,1.0
R 1 595 000,3.0,2.5,House,672m²,200m²,,0,R850,2.0,1.0
R 1 350 000,3.0,2.0,Townhouse,,130m²,R2200,0,R460,1.0,
R 1 150 000,1.0,1.0,Apartment/Flat,,88m²,R1803,0,R394,1.0,0.0
