price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 999 999,3,2,2,Apartment/Flat,54125m²,83m²,R2000,R690,1,
R 2 750 000,3,3.5,2,Townhouse,,180m²,,,1,1.0
R 6 250 000,2,2.5,2,Apartment/Flat,,171m²,R6720,R4104,1,1.0
R 889 000,2,1,2,Townhouse,,,R1400,R480,0,
R 1 499 000,3,1,3,House,759m²,759m²,,,1,1.0
R 1 399 000,2,1,1,Apartment/Flat,,71m²,,,1,1.0
R 675 000,2,1,1,Apartment/Flat,,51m²,R1100,R150,0,0.0
R 765 000,2,1,1,Apartment/Flat,,56m²,R1100,R150,0,0.0
R 1 050 000,3,1,,House,495m²,495m²,,,0,
R 3 584 900,2,2,1,Apartment/Flat,,80m²,R2428,,0,0.0
R 30 000 000,,,,CommercialProperty,4000m²,4000m²,,,0,
R 600 000,1,1,,Apartment/Flat,,,,,0,
R 3 599 000,7,5,7,House,1031m²,,,R1368,1,1.0
R 870 000,3,2,2,House,335m²,270m²,,R925,0,
R 665 000,2,1,1,Apartment/Flat,,,R1335,R250,0,
R 680 000,2,1,1,Townhouse,,65m²,R1881,,0,
R 2 999 000,3,2.5,3,Townhouse,160m²,160m²,,,0,
R 1 500 000,2,2,2,Townhouse,,,,,0,
R 4 782 000,,,,,,,,,0,
R 999 000,4,2,3,House,377m²,,,R339,0,1.0
R 1 349 000,1,1,,Apartment/Flat,3725m²,78m²,R2116,,0,
R 1 650 000,3,2,2,Apartment/Flat,,154m²,R3200,R1400,0,
R 770 000,2,1,,Townhouse,122m²,,R463,R3000,0,
R 665 000,2,1,1,Apartment/Flat,,,R1300,R250,0,
R 1 090 000,3,3.5,12,House,,,,,0,1.0
R 12 800 000,,,,CommercialProperty,,,,,0,
R 1 250 000,3,2,1,House,495m²,,,,0,1.0
R 839 000,2,1,1,Apartment/Flat,,,R1300,R250,0,
R 1 235 000,2,2,2,Apartment/Flat,45180m²,72m²,R1600,R755,1,
R 1 280 000,2,1,1,Apartment/Flat,,94m²,,,0,1.0
R 689 000,1,1,1,Apartment/Flat,,,R2082,R338,1,
R 1 240 000,6,4,3,House,866m²,,,,0,
R 1 100 000,3,1,1,House,495m²,,,R600,0,1.0
R 450 000,2,1,2,Apartment/Flat,,113m²,,R255,0,
R 9 880 000,3,3.5,4,House,,1329m²,,,1,1.0
R 185 000,1,1,1,Apartment/Flat,,49m²,R1154,,0,0.0
R 720 000,2,1,1,Townhouse,,,,,0,
R 539 000,,,,,,,,,0,
R 300 000,1,1,1,Apartment/Flat,,66m²,,,0,0.0
R 16 750 000,5,5.5,8,House,991m²,,,,1,0.0
R 650 000,2,1,1,Apartment/Flat,,,R1200,R400,0,
R 1 599 000,3,1,5,House,676m²,,,R1176,0,1.0
R 665 000,2,1,1,Apartment/Flat,,51m²,R1200,R150,0,
R 2 795 000,4,2,2,House,2056m²,,,R2400,1,1.0
R 1 100 000,2,2,2,House,,189m²,,R425,0,0.0
R 1 999 999,2,2,1,Apartment/Flat,,,,,1,
R 3 199 000,3,3,2,House,,495m²,,,1,0.0
R 750 000,3,1,3,House,527m²,,,R400,0,0.0
R 850 000,3,2,1,Townhouse,,91m²,R2475,,1,
R 2 871 000,4,2.5,2,Apartment/Flat,,202m²,R5155,R1455,0,
R 10 500 000,5,5,3,House,1051m²,560m²,,R2446,1,1.0
R 190 000,1,1,,Apartment/Flat,,33m²,R802,R438,0,
R 1 350 000,3,2,1,House,,,,,0,0.0
R 1 800 000,3,2,3,House,312m²,280m²,,R656,0,1.0
R 2 930 000,,,,VacantLand/Plot,977m²,,R3200,,0,
R 2 500 000,,,,House,495m²,250m²,,R4824,0,1.0
R 707 180 - R 751 950,,,,,,,,,0,
R 1 800 000,4,2,6,House,495m²,,,R552,0,
R 725 000,3,1,1,House,,,,,0,
R 839 000,2,1,1,Apartment/Flat,,56m²,R1100,R150,0,
R 1 225 000,2,2,2,Apartment/Flat,101m²,101m²,,R833,1,0.0
R 849 000,3,1,2,Apartment/Flat,,90m²,R1067,,1,0.0
R 7 499 000,6,4,2,House,,,,,1,
R 1 195 000,3,2,1,Apartment/Flat,,,,,1,
R 460 000,2,1,2,Apartment/Flat,61m²,61m²,,R290,0,0.0
R 2 950 000,6,3,3,House,496m²,496m²,,R1100,0,1.0
R 665 000,3,2,1,Townhouse,,76m²,R100,R159,0,
R 365 000,3,1,1,Townhouse,,,,,0,
R 630 000,2,2,1,Apartment/Flat,,129m²,,,0,0.0
R 170 000,1,1,,Apartment/Flat,,,R810,,0,
R 4 950 000,4,2,4,House,739m²,739m²,,R970,1,
R 750 000,2,1,2,House,153m²,,,R35,0,
