price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 1 700 000,1,1,1,Apartment/Flat,63m²,R3151,0.0,1,,
R 1 999 999,6,3,2,House,,,1.0,1,965m²,
R 1 750 000,3,2,2,House,594m²,,,1,594m²,R1600
R 690 000,1,1,,Apartment/Flat,81m²,R2319,0.0,0,,R376
R 1 200 000,3,3,,Townhouse,,,,1,118m²,
R 3 200 000,5,4,2,House,,,,0,918m²,
R 800 000,3,1,1,House,,,1.0,0,,R450
R 1 495 000,2,2.5,2,Townhouse,123m²,R1908,0.0,0,,
R 2 999 000,1,1.5,1,Townhouse,124m²,R1945,1.0,1,4579m²,R1886
R 3 250 000,,,,VacantLand/Plot,,,,0,840m²,
R 3 300 000,2,2,3,House,,,1.0,0,,
R 1 250 000,5,1,1,House,,,,0,,
R 2 299 000,3,3,2,House,,,,1,,
R 1 700 000,2,2,1,House,,,,0,495m²,R800
R 410 000,,1,,Apartment/Flat,30m²,,0.0,0,497m²,
R 1 399 000,3,2,2,Apartment/Flat,135m²,,0.0,1,135m²,R1140
R 4 770 000,,,,,,,,0,,
R 3 200 000,6,3,,House,,,,0,,
R 35 000 000,,,,CommercialProperty,,,,0,2400m²,R16800
R 2 149 000,3,3,5,House,,,1.0,0,434m²,
R 1 350 000,3,2,1,House,,,1.0,0,,
R 990 000,2,2,2,Apartment/Flat,86m²,R850,,1,,R450
R 650 000,2,1,,Townhouse,,,,0,,
R 895 000,3,1,1,House,,,1.0,0,556m²,R460
R 1 000 000,3,2,2,House,,,,0,492m²,
R 1 075 000,2,2,2,Apartment/Flat,,,,0,,
R 125 000,0.5,1,1,Apartment/Flat,39m²,R1000,0.0,0,,
R 910 500,3,2,,House,59m²,,1.0,0,150m²,R300
R 750 000,2,2,4,House,220m²,,,0,400m²,R450
R 2 950 000,2,2.5,2,Apartment/Flat,126m²,R1500,0.0,0,,R2400
R 340 000,2,1,1,Apartment/Flat,109m²,,0.0,0,1243m²,
R 480 000,,1,1,Apartment/Flat,,R1200,,0,75m²,
R 1 011 750,3,2,,Townhouse,84m²,,,0,,
R 1 200 000,3,1,5,House,,,,0,495m²,R682
R 3 450 000,3,3,6,House,503m²,,1.0,0,503m²,R1883
R 320 000,1,1,,Apartment/Flat,23m²,R831,,0,500m²,R554
R 2 299 000 - R 2 552 550,,,,,,,,0,,
R 1 795 000,4,3,3,House,,,,0,2023m²,
R 1 190 000,3,2,1,Townhouse,163m²,,,1,,
R 1 140 000,6,3,5,House,,,,0,495m²,R350
R 875 000,2,1,1,House,130m²,,,1,495m²,R693
R 2 300 000,3,2.5,2,House,,,,1,1487m²,R1248
R 849 000,4,3,3,House,,,,0,517m²,R494
R 755 000,2,1,,Apartment/Flat,,R600,,0,,R680
R 1 495 000,3,2.5,3,Townhouse,186m²,R2900,1.0,0,,
R 1 750 000,3,2,1,Townhouse,114m²,,1.0,0,,R802
R 895 000,3,2,1,Townhouse,88m²,R2284,0.0,1,12776m²,
R 8 500 000,,,,CommercialProperty,,,,0,,
R 1 825 000,1,1,1,Apartment/Flat,53m²,,,0,,
R 1 860 000,4,3,2,House,,,1.0,1,1487m²,R1095
R 650 000,2,1,1,Townhouse,61m²,R1682,,1,,
R 5 500 000,4,2,1,House,2738m²,,1.0,1,2738m²,
R 699 000,2,1,4,House,,,1.0,0,260m²,R269
R 2 350 000,2,2.5,2,Townhouse,115m²,R2960,1.0,1,,R1790
R 2 449 000,8,4,4,House,,,,1,1051m²,R1464
R 695 000,2,1,,Apartment/Flat,67m²,R1400,,0,,R400
R 860 000,,,,VacantLand/Plot,,,,0,,
R 2 499 900 - R 3 099 900,,,,,,,,0,,
R 2 545 000,4,3,2,Apartment/Flat,280m²,R4000,,1,5000m²,R1900
R 3 450 000,4,4,4,House,,,1.0,1,840m²,
R 4 100 000,,,,CommercialProperty,,,,0,646m²,R5398
R 690 000,1,2,1,House,,,0.0,0,,
R 7 500 000,,,,CommercialProperty,248m²,,,0,,
R 3 180 000,4,3,8,House,,,,0,2700m²,
R 690 000,1,2,1,Apartment/Flat,,,0.0,0,,
R 1 250 000,3,2.5,2,Townhouse,174m²,R2342,0.0,1,227m²,
R 885 000,3,2,12,House,250m²,,1.0,0,503m²,R793
R 1 299 000,3,2,2,Townhouse,,R2291,,0,,R718
R 700 000,2,1,2,House,,,,0,251m²,
R 3 900 000,4,2,2,House,,,,0,1488m²,R2600
R 2 999 000,4,3,2,House,,,,1,,
R 1 800 000,,,,CommercialProperty,472m²,,,0,248m²,
R 495 000,1,1,1,Apartment/Flat,43m²,R952,0.0,1,,R239
R 2 200 000,4,2,4,House,300m²,,1.0,1,1487m²,R1079
R 2 500 000 - R 4 300 000,,,,,,,,0,,
R 899 000,3,2,1,House,69m²,,0.0,0,399m²,R244
R 675 000,3,1,2,Apartment/Flat,,R1889,,1,,R425
R 1 450 000,2,2,2,Apartment/Flat,84m²,R2156,1.0,1,,R463
R 960 000,2,2,2,Townhouse,84m²,R2200,,1,,R695
R 2 350 000,3,2,4,House,180m²,,1.0,0,495m²,R1000
R 650 000,3,1,5,House,90m²,,1.0,0,383m²,R350
R 649 999,2,1,2,Townhouse,,R335,,1,,R780
R 1 050 000,2,2,1,House,206m²,,,0,297m²,R490
R 3 300 000,3,2,5,House,,,,0,739m²,R1700
R 1 400 000,4,2,2,House,,,0.0,1,,R1100
R 3 400 000,4,2.5,7,House,,,1.0,1,1086m²,
R 1 680 000,2,1,3,Townhouse,101m²,R1593,0.0,0,,
R 4 950 000,4,3.5,6,House,,,,1,1018m²,R3518
R 2 450 000,3,2,3,House,496m²,,0.0,1,,R1596
R 2 370 500 - R 2 552 550,,,,,,,,0,,
R 2 199 000,4,3,2,House,,,,1,,
R 799 000,2,1,1,Apartment/Flat,,,,0,,
R 1 600 000,3,2,1,House,,,1.0,1,947m²,
R 990 000,3,3,1,Townhouse,825m²,,,0,925m²,R600
R 5 500 000,4,3.5,6,House,,,0.0,1,990m²,R2806
R 1 200 000,4,2,4,House,186m²,,1.0,0,450m²,R400
R 1 900 000,3,2,2,Townhouse,152m²,,1.0,1,152m²,R1105
R 2 250 000,4,3,6,House,180m²,R2900,1.0,0,,
R 1 600 000,2,1,2,House,,,,0,496m²,R587
R 1 450 000,2,2,2,House,,,0.0,0,,R800
R 1 829 900,3,2,2,Apartment/Flat,121m²,,,0,,
R 1 350 000,,,,CommercialProperty,650m²,,,0,447m²,
R 695 000,2,1,1,Townhouse,77m²,R1480,,1,,R401
R 2 249 000,4,2,8,House,,,1.0,1,991m²,R1147
R 100 000 000,,,,CommercialProperty,,,,0,,
R 4 999 000,,,,VacantLand/Plot,,,,0,6765m²,
R 539 000,,,,,,,,0,,
R 711 000,2,1,,House,50m²,,,0,200m²,R450
R 1 650 000,3,2,1,Townhouse,163m²,R2120,1.0,0,163m²,R1005
R 890 000,2,2,1,Townhouse,103m²,R1814,,1,,
R 17 000 000,4,5,2,Apartment/Flat,412m²,R3700,,0,15000m²,R20500
R 2 799 000,3,2.5,2,House,496m²,,1.0,1,,R1800
R 699 000,2,1,1,Townhouse,,R1766,0.0,0,,R400
R 710 000,1,1,1,Apartment/Flat,55m²,R2619,0.0,0,,R380
R 920 000,2,1,,Townhouse,75m²,R2100,,1,,R600
R 2 690 000,,,,VacantLand/Plot,,R3000,,0,915m²,
R 3 100 000,1,1,2,Apartment/Flat,95m²,,0.0,1,,
R 649 000,1,1,1,Apartment/Flat,,R1300,,0,,R403
R 350 000,1,1,1,House,95m²,,1.0,0,168m²,R150
R 3 990 000,3,3,2,House,,,1.0,1,495m²,R2200
R 2 195 000,,,,CommercialProperty,,,,0,1150m²,
R 699 000,2,1,1,Townhouse,,R1200,,0,,R250
R 1 500 000,,,,IndustrialProperty,,,,0,768m²,
R 1 100 000,3,2,,House,,,,0,700m²,R547
R 1 699 000,9,3,,House,,,,0,495m²,
R 6 499 999,,,,IndustrialProperty,,,,0,2751m²,
R 7 950 000,4,3.5,3,House,,,1.0,1,1550m²,R4000
R 2 950 000,4,2.5,4,House,,,1.0,1,991m²,
R 2 185 000,3,2,2,Apartment/Flat,129m²,R3777,0.0,1,,R1544
R 495 000,1,1,1,Apartment/Flat,57m²,R2500,,1,,R600
R 1 450 000,10,4,2,House,,,,0,,
R 539 000,,,,Apartment/Flat,76m²,R100,,0,991m²,
R 1 600 000,,,,CommercialProperty,,,,0,495m²,R1600
R 11 000 000,42,42,,Apartment/Flat,,,,0,,
R 3 200 000,4,2,2,House,,,1.0,1,684m²,
R 2 499 000,3,2,1,Apartment/Flat,156m²,R3800,,0,,R900
R 1 399 000,3,2,3,House,,,,0,495m²,R800
R 780 000,2,1,1,House,,R2300,,0,,
R 2 100 000,3,1,6,House,,,1.0,0,496m²,
