price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space
R 750 000,3,1,Apartment/Flat,4113m²,75m²,R1143,R448,0.0,0,
R 1 900 000,3,2,House,648m²,,,R867,1.0,0,6
R 500 000,1,1,Apartment/Flat,,,,,,0,
R 1 250 000,3,2.5,House,,,R2500,,0.0,0,3
R 650 000,3,2,House,613m²,273m²,,R501,,0,5
R 190 000,0.5,1,Apartment/Flat,1985m²,41m²,R700,R200,0.0,0,1
R 1 250 000,2,2,Apartment/Flat,8288m²,77m²,,,,1,3
R 668 000,3,1.5,House,400m²,,,R431,1.0,0,3
R 870 000,3,2,Apartment/Flat,,,R700,,0.0,1,1
R 638 000,2,1,House,150m²,40m²,,R300,1.0,0,
R 920 000,,,House,613m²,,R300,,,0,
R 1 950 000,3,2,House,527ha,200m²,,R508,1.0,0,15
R 6 000 000,,,House,2959m²,,,,,0,
R 550 000,1,1,House,1193m²,50m²,R2082,R366,1.0,1,3
R 19 980 000,,,CommercialProperty,694m²,7000m²,,,,0,
R 200 000,0.5,1,Apartment/Flat,37m²,,R745,,,0,1
R 1 699 000,6,4,House,463m²,400m²,,R241,1.0,0,6
R 675 000,2,1,Apartment/Flat,,,R1335,R250,,0,1
R 599 000 - R 750 000,,,,,,,,,0,
R 610 000,2,1,Apartment/Flat,494m²,44m²,,,0.0,0,1
R 1 300 000,2,1,House,495m²,,,,,0,
R 500 000,1,1,House,,,,,,0,
R 1 600 000,6,2,House,500m²,250m²,,R450,1.0,0,3
R 1 200 000,3,1,House,496m²,,,,,0,7
R 3 200 000,3,2,House,496m²,,,,,0,2
R 4 495 000,3,3.5,House,1061m²,,,,1.0,1,5
R 3 000 000,5,3.5,House,880m²,450m²,,R900,1.0,1,6
R 3 400 000,3,2,House,1086m²,320m²,,,1.0,0,2
R 720 000,3,1,Townhouse,,70m²,R1283,R374,,1,1
R 1 700 000,4,3,House,1000m²,300m²,,R800,,0,1
R 520 000,3,1,Apartment/Flat,,77m²,R1335,,,0,
R 1 199 000,3,2,Townhouse,,,R888,,0.0,0,
R 1 450 000,3,2,House,437m²,,,R600,,0,6
R 1 995 000,4,6,House,,,,R2000,,0,3
R 941 000,3,1,House,200m²,71m²,,R300,1.0,0,1
R 1 150 000,3,1,House,495m²,,,,,0,1
R 250 000,1,1,Apartment/Flat,992m²,48m²,R820,R177,0.0,0,1
R 4 690 000,5,3.5,House,991m²,,,R1758,1.0,1,6
R 175 000,,1,Apartment/Flat,1487m²,35m²,,,0.0,0,
R 1 250 000,3,1,House,,,,,,1,6
R 4 900 000,3,3.5,House,1027m²,,,R3604,1.0,1,2
R 875 000,2,2,House,248m²,,,,,0,
R 1 395 000,2,2,Apartment/Flat,,132m²,,R2695,1.0,0,1
R 5 000 000,1,1,Apartment/Flat,4452m²,56m²,,,0.0,0,47
R 6 800 000,2,2,House,1688m²,,,,,1,3
R 680 000,4,1,House,496m²,,,R237,,0,
R 42 000 000,,,CommercialProperty,,7500m²,,,,0,
R 700 000,3,1.5,Apartment/Flat,235542m²,70m²,R2000,R200,,1,1
R 569 000,0.5,1,Apartment/Flat,,33m²,,,0.0,0,
R 629 000,2,1,Apartment/Flat,,60m²,R1343,,,0,1
R 2 200 000,6,4,House,480m²,,,R666,1.0,0,2
R 850 000,3,2,House,416m²,,,,,1,
R 1 099 000,2,2,Townhouse,,104m²,R1706,,1.0,1,
R 4 299 000,3,2,House,991m²,,,,,1,4
R 1 450 000,3,2,House,783m²,,,R834,,1,4
R 3 999 000 - R 4 249 000,,,,,,,,,0,
R 890 000,,,VacantLand/Plot,,,,,,0,
R 1 220 000,2,2,Apartment/Flat,54122m²,115m²,R3113,R640,,1,2
R 895 000,2,2,Townhouse,1776m²,103m²,R1955,,1.0,0,1
R 2 699 000,4,2,House,,,,,,0,2
R 711 500,2,1,House,,,R400,R300,,0,
R 425 000,0.5,1,Apartment/Flat,,36m²,R967,,,0,
R 400 000,2,1,House,,,,,,0,1
R 2 200 000,5,4,House,800m²,,,R2000,1.0,1,2
R 1 375 000,2,2,Apartment/Flat,77m²,77m²,R1800,R915,,0,
R 9 800 000,4,3.5,House,2023m²,,,,,1,2
